Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1969,0.838,5.255,180.6623,357.0753,-0.0162,1.1955,0.8229,5.3127,180.5723,357.0552,1,-0.0318,0.0039,-0.0241,0.0009,0.07,0.9975,0.031,0.0073,-0.0238,-0.0375,0.0652,0.9972,-0.0158,1.2032,0.8462,0.0048,-0.0242,-0.9997,1,Player1Face,-0.0079,1.1634,-0.7995,Player1Face,7297421429,0.0017,0.7997,0.2938,345.8414,51.3585,347.6324,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.814,3.5353,1.0231,352.6728,-0.039,0.0748,0.9971,355.6168,357.7568,0,-0.0649,0.0748,0.9943,355.6053,356.3213,0,Player2Face,-0.0533,1.1921,0.8588,0.0097,0.7944,-0.3052,346.5877,223.9024,349.8936,FingerCubeReady,PlasterWallLong2,916.1882,0,1,Cube3,0.4,0.89,0,0,877.5513,868.367383652418,0.0111030854599566,0.503,25.2486,30.5606,18.1837,0.2167,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1969,0.838,5.2436,180.6443,357.1089,-0.0162,1.1954,0.8229,5.3047,180.6135,357.0613,1,-0.0318,0.0039,-0.0241,0.0008,0.0698,0.9975,0.031,0.0073,-0.0238,-0.0372,0.0649,0.9972,-0.0158,1.2032,0.8462,0.004,-0.0243,-0.9997,1,Player1Face,-0.0091,1.1632,-0.7996,Player1Face,7297446424,0.0018,0.7998,0.2937,345.8376,51.3958,347.6103,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.8141,3.5406,1.0116,352.6859,-0.0386,0.0762,0.997,355.6529,357.764,0,-0.0651,0.0762,0.9942,355.6441,356.3026,0,Player2Face,-0.0531,1.1941,0.8581,0.0097,0.7944,-0.3052,346.5386,223.9456,349.8854,FingerCubeReady,PlasterWallLong2,916.2102,0,1,Cube3,0.4,0.89,0,0,877.5735,868.389160952418,0.0111030854599566,0.503,25.282,30.5905,18.1767,0.1877,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1969,0.838,5.2498,180.619,357.1172,-0.0162,1.1954,0.8229,5.3125,180.6297,357.0715,1,-0.0318,0.0039,-0.0241,0.0003,0.0692,0.9976,0.031,0.0073,-0.0238,-0.0373,0.0644,0.9972,-0.0158,1.2032,0.8462,0.0041,-0.025,-0.9997,1,Player1Face,-0.0091,1.1621,-0.7995,Player1Face,7297454755,0.0018,0.7998,0.2938,345.8174,51.375,347.6123,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.8141,3.535,1.0085,352.6927,-0.0388,0.0761,0.997,355.6521,357.769,0,-0.0653,0.0761,0.9942,355.6446,356.2884,0,Player2Face,-0.0536,1.1942,0.8582,0.0097,0.7945,-0.3052,346.5162,223.9588,349.8741,FingerCubeReady,PlasterWallLong2,916.2214,0,1,Cube3,0.4,0.89,0,0,877.5846,868.400460952418,0.0111030854599566,0.503,25.2644,30.5665,18.1373,0.1558,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1969,0.8381,5.2578,180.6054,357.1191,-0.0162,1.1954,0.8229,5.3115,180.6437,357.0666,1,-0.0318,0.0039,-0.0241,0.0009,0.0688,0.9976,0.031,0.0073,-0.0238,-0.0376,0.0644,0.9972,-0.0158,1.2032,0.8462,0.0037,-0.0252,-0.9997,1,Player1Face,-0.0098,1.1618,-0.7995,Player1Face,7297471418,0.0018,0.7998,0.2938,345.825,51.3706,347.6074,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.8141,3.5171,1.0078,352.7207,-0.0383,0.0764,0.997,355.6472,357.7747,0,-0.0657,0.0764,0.9942,355.6405,356.272,0,Player2Face,-0.0535,1.195,0.8579,0.0097,0.7945,-0.3053,346.454,223.989,349.865,FingerCubeReady,PlasterWallLong2,916.2326,0,1,Cube3,0.4,0.89,0,0,877.596,868.411617052418,0.0111030854599566,0.503,25.2672,30.5777,18.1262,0.1312,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1969,0.8381,5.2543,180.6055,357.1025,-0.0162,1.1954,0.823,5.3069,180.6516,357.0647,1,-0.0318,0.0039,-0.0241,0.0008,0.0683,0.9977,0.031,0.0073,-0.0238,-0.0374,0.0642,0.9972,-0.0158,1.2032,0.8463,0.0035,-0.0254,-0.9997,1,Player1Face,-0.01,1.1613,-0.7995,Player1Face,7297479750,0.0018,0.7998,0.2938,345.8318,51.3668,347.6007,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.814,3.5124,1.0006,352.7458,-0.0384,0.0759,0.997,355.6442,357.7813,0,-0.0649,0.0759,0.9943,355.6379,356.262,0,Player2Face,-0.0533,1.1942,0.8582,0.0097,0.7945,-0.3053,346.426,224.0042,349.8273,FingerCubeReady,PlasterWallLong2,916.244,0,1,Cube3,0.4,0.89,0,0,877.6077,868.423565752418,0.0111030854599566,0.503,25.2715,30.5751,18.1078,0.1153,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1971,0.8382,5.2501,180.5959,357.08,-0.0162,1.1955,0.823,5.3019,180.6547,357.0621,1,-0.0318,0.0039,-0.0241,0.0012,0.0682,0.9977,0.031,0.0073,-0.0238,-0.0374,0.0648,0.9972,-0.0158,1.2032,0.8463,0.0032,-0.0251,-0.9997,1,Player1Face,-0.0105,1.1619,-0.7995,Player1Face,7297488081,0.0018,0.7998,0.2938,345.8232,51.3556,347.5966,FingerCubeReady,TABLE_Folding,-0.0115,1.158,-0.814,3.4949,0.9934,352.7586,-0.0385,0.0755,0.997,355.6474,357.7852,0,-0.0652,0.0755,0.9943,355.6411,356.2574,0,Player2Face,-0.0539,1.1942,0.8584,0.0097,0.7945,-0.3053,346.4145,224.0007,349.819,FingerCubeReady,PlasterWallLong2,916.2551,0,1,Cube3,0.4,0.89,0,0,877.6183,868.433852652418,0.0111030854599566,0.503,25.2662,30.5986,18.1272,0.1251,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1971,0.8382,5.2474,180.5949,357.0443,-0.0162,1.1955,0.823,5.2689,180.6586,357.0682,1,-0.0318,0.0039,-0.0241,0.0004,0.0679,0.9977,0.031,0.0073,-0.0238,-0.038,0.0648,0.9972,-0.0158,1.2033,0.8463,0.0039,-0.0246,-0.9997,1,Player1Face,-0.0093,1.1627,-0.7996,Player1Face,7297504744,0.0018,0.7998,0.2938,345.8194,51.354,347.5916,FingerCubeReady,TABLE_Folding,-0.0115,1.1581,-0.814,3.4776,0.998,352.7619,-0.039,0.0751,0.997,355.6563,357.7833,0,-0.0665,0.0751,0.9943,355.6498,356.2451,0,Player2Face,-0.0554,1.1943,0.859,0.0097,0.7945,-0.3052,346.3777,223.9466,349.8544,FingerCubeReady,PlasterWallLong2,916.2664,0,1,Cube3,0.4,0.89,0,0,877.6295,868.445380252418,0.0111030854599566,0.503,25.2677,30.5826,18.1549,0.1667,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.1971,0.8381,5.2678,180.6076,357.0229,-0.0162,1.1955,0.823,5.2519,180.6599,357.0776,1,-0.0318,0.0039,-0.0241,0.0001,0.0679,0.9977,0.031,0.0073,-0.0238,-0.0377,0.0644,0.9972,-0.0158,1.2033,0.8464,0.0039,-0.0246,-0.9997,1,Player1Face,-0.0094,1.1628,-0.7995,Player1Face,7297513076,0.0018,0.7998,0.2938,345.8184,51.3658,347.5844,FingerCubeReady,TABLE_Folding,-0.0115,1.1581,-0.814,3.467,0.9904,352.7631,-0.0389,0.075,0.997,355.6675,357.7783,0,-0.066,0.075,0.9943,355.6609,356.2309,0,Player2Face,-0.0553,1.1943,0.8589,0.0097,0.7946,-0.3052,346.3734,223.9291,349.8615,FingerCubeReady,PlasterWallLong2,916.2773,0,1,Cube3,0.4,0.89,0,0,877.6405,868.456371252418,0.0111030854599566,0.503,25.2788,30.5845,18.1569,0.1679,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.197,0.838,5.2886,180.6344,357.0203,-0.0162,1.1955,0.823,5.238,180.649,357.0879,1,-0.0318,0.0039,-0.0241,0.0005,0.0678,0.9977,0.031,0.0073,-0.0237,-0.0376,0.0647,0.9972,-0.0158,1.2033,0.8464,0.0038,-0.0242,-0.9997,1,Player1Face,-0.0095,1.1634,-0.7996,Player1Face,7297521407,0.0018,0.7998,0.2937,345.8456,51.3849,347.5757,FingerCubeReady,TABLE_Folding,-0.0115,1.1582,-0.814,3.46,0.9928,352.7706,-0.0391,0.075,0.997,355.6784,357.7724,0,-0.0651,0.075,0.9944,355.6716,356.2276,0,Player2Face,-0.0546,1.1943,0.8587,0.0097,0.7945,-0.3052,346.3397,223.889,349.8967,FingerCubeReady,PlasterWallLong2,916.2888,0,1,Cube3,0.4,0.89,0,0,877.6515,868.467093252418,0.0111030854599566,0.503,25.301,30.5983,18.1779,0.1824,0
joint,2643,3,Initiator,4,2,6,Responder,-1,0,3,1,2,0,-0.016,1.197,0.838,5.3088,180.6581,357.047,-0.0162,1.1955,0.8231,5.2463,180.633,357.1126,1,-0.0318,0.0039,-0.0241,0.0005,0.0671,0.9977,0.031,0.0073,-0.0237,-0.038,0.0647,0.9972,-0.0158,1.2033,0.8464,0.0044,-0.0247,-0.9997,1,Player1Face,-0.0086,1.1626,-0.7996,Player1Face,7297538070,0.0018,0.7998,0.2937,345.8586,51.3951,347.5704,FingerCubeReady,TABLE_Folding,-0.0115,1.1582,-0.814,3.4512,0.9855,352.7799,-0.0388,0.0748,0.9971,355.6875,357.7693,0,-0.0665,0.0748,0.9942,355.6807,356.2227,0,Player2Face,-0.0558,1.1945,0.8591,0.0097,0.7946,-0.3051,346.348,223.853,349.8759,FingerCubeReady,PlasterWallLong2,916.2996,0,1,Cube3,0.4,0.89,0,0,877.663,868.478820652418,0.0111030854599566,0.503,25.3126,30.5574,18.1481,0.1736,0
