Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0345,1.1762,0.8165,3.9695,184.982,357.7805,0.0333,1.1756,0.802,3.8366,184.9898,357.777,1,-0.0321,0.0038,-0.0249,-0.0387,0.0626,0.9973,0.0308,0.0058,-0.0234,-0.0917,0.064,0.9937,0.0358,1.182,0.8256,-0.0243,-0.001,-0.9997,1,Player1Face,-0.0003,1.1805,-0.6623,Player1Face,15788724734,0.0095,0.7947,0.3108,337.1935,48.8239,342.9547,FingerCubeReady,LongSiding1,-0.0135,1.1704,-0.6509,0.5243,2.4417,356.7563,0.0196,0.0191,0.9997,358.8806,1.1078,0,-0.015,0.0191,0.9996,358.8802,359.1824,0,Player2Face,0.0546,1.1879,0.827,0.0049,0.7986,-0.2949,350.0575,226.7892,353.3739,FingerCubeReady,TABLE_Folding,679.1525,0,1,Cube3,0.4,0.89,0,0,699.7839,665.969027468185,0.018286399052516,0.5081,26.7176,30.5456,18.8249,0.6546,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.1761,0.8164,4.0193,184.9592,357.8291,0.0332,1.1755,0.8019,3.8567,184.9935,357.8041,1,-0.0321,0.0038,-0.0249,-0.0385,0.0628,0.9973,0.0308,0.0058,-0.0234,-0.0915,0.0647,0.9937,0.0358,1.1819,0.8255,-0.0246,-0.0009,-0.9997,1,Player1Face,-0.0008,1.1806,-0.6621,Player1Face,15788749729,0.0095,0.7947,0.3108,337.1985,48.8286,342.9565,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.5269,2.4393,356.7531,0.0197,0.019,0.9997,358.8916,1.1141,0,-0.0151,0.019,0.9996,358.8914,359.1483,0,Player2Face,0.0545,1.1877,0.8269,0.0049,0.7986,-0.2949,350.0592,226.7699,353.3788,FingerCubeReady,TABLE_Folding,679.1741,0,1,Cube3,0.4,0.89,0,0,699.8057,665.990748268185,0.018286399052516,0.508,26.7193,30.5639,18.8285,0.6416,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.1761,0.8163,4.0572,184.9538,357.8679,0.0333,1.1754,0.8018,3.8685,184.9927,357.8148,1,-0.0321,0.0038,-0.0249,-0.0388,0.0628,0.9973,0.0308,0.0058,-0.0234,-0.092,0.0643,0.9937,0.0358,1.1818,0.8255,-0.0241,-0.0013,-0.9997,1,Player1Face,-0.0001,1.1799,-0.6623,Player1Face,15788758060,0.0096,0.7947,0.3107,337.2017,48.8326,342.9568,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.533,2.4268,356.7434,0.0207,0.0188,0.9997,358.8998,1.128,0,-0.0148,0.0188,0.9996,358.8997,359.1441,0,Player2Face,0.0552,1.1872,0.8269,0.0049,0.7986,-0.2949,350.0607,226.7673,353.3742,FingerCubeReady,TABLE_Folding,679.1855,0,1,Cube3,0.4,0.89,0,0,699.8171,666.001980868185,0.018286399052516,0.508,26.7219,30.5264,18.8025,0.6492,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.176,0.8162,4.0896,184.9597,357.8309,0.0332,1.1754,0.8018,3.894,184.9881,357.8203,1,-0.0321,0.0038,-0.0249,-0.0389,0.0631,0.9972,0.0308,0.0058,-0.0234,-0.0919,0.0646,0.9937,0.0358,1.1818,0.8254,-0.0241,-0.0015,-0.9997,1,Player1Face,0,1.1797,-0.6623,Player1Face,15788766392,0.0096,0.7947,0.3107,337.2078,48.8318,342.9528,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.5278,2.4212,356.76,0.0214,0.0187,0.9997,358.9087,1.1532,0,-0.0149,0.0187,0.9996,358.9086,359.144,0,Player2Face,0.0554,1.1871,0.8269,0.0049,0.7986,-0.2949,350.0654,226.7463,353.3784,FingerCubeReady,TABLE_Folding,679.1971,0,1,Cube3,0.4,0.89,0,0,699.8281,666.013205068185,0.018286399052516,0.508,26.7275,30.5196,18.7956,0.6465,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.176,0.8161,4.1318,184.9745,357.7685,0.0333,1.1753,0.8017,3.9322,184.9942,357.8018,1,-0.0321,0.0038,-0.0249,-0.0389,0.0639,0.9972,0.0308,0.0058,-0.0234,-0.0927,0.0658,0.9935,0.0358,1.1817,0.8254,-0.0238,-0.0011,-0.9997,1,Player1Face,0.0004,1.1802,-0.6623,Player1Face,15788783055,0.0096,0.7947,0.3107,337.2084,48.8313,342.9544,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.5176,2.4127,356.7982,0.0255,0.0155,0.9996,358.9411,1.2088,0,-0.0145,0.0155,0.9996,358.9418,359.1479,0,Player2Face,0.0584,1.1823,0.8282,0.0049,0.7986,-0.2948,350.0623,226.7374,353.385,FingerCubeReady,TABLE_Folding,679.2076,0,1,Cube3,0.4,0.89,0,0,699.8393,666.024168168185,0.018286399052516,0.508,26.7268,30.5218,18.8187,0.6685,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.1759,0.8161,4.1668,184.9893,357.7181,0.0333,1.1752,0.8017,3.9566,184.9875,357.7909,1,-0.0321,0.0038,-0.0249,-0.0387,0.0642,0.9972,0.0308,0.0058,-0.0234,-0.0923,0.0659,0.9935,0.0358,1.1817,0.8253,-0.024,-0.0013,-0.9997,1,Player1Face,0.0001,1.1798,-0.6623,Player1Face,15788791386,0.0096,0.7947,0.3107,337.2122,48.8314,342.9544,FingerCubeReady,LongSiding1,-0.0135,1.1704,-0.6509,0.5038,2.3837,356.8186,0.0289,0.0158,0.9996,358.9898,1.3168,0,-0.0137,0.0158,0.9996,358.9915,359.162,0,Player2Face,0.0608,1.1829,0.8283,0.0049,0.7985,-0.2949,350.0622,226.7482,353.3827,FingerCubeReady,TABLE_Folding,679.2188,0,1,Cube3,0.4,0.89,0,0,699.8503,666.035485168185,0.018286399052516,0.508,26.7282,30.5229,18.8025,0.6489,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.1759,0.816,4.1957,184.9917,357.6799,0.0332,1.1752,0.8016,3.9668,184.9831,357.7826,1,-0.0321,0.0038,-0.0249,-0.0385,0.0643,0.9972,0.0308,0.0058,-0.0234,-0.0921,0.0665,0.9935,0.0358,1.1816,0.8253,-0.0242,-0.0012,-0.9997,1,Player1Face,-0.0002,1.1799,-0.6622,Player1Face,15788799718,0.0095,0.7947,0.3107,337.213,48.8265,342.9527,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.4927,2.3661,356.8309,0.0278,0.0157,0.9996,359.0294,1.4206,0,-0.0133,0.0157,0.9996,359.0314,359.1832,0,Player2Face,0.0598,1.1831,0.828,0.0049,0.7986,-0.2949,350.0639,226.7468,353.3746,FingerCubeReady,TABLE_Folding,679.2301,0,1,Cube3,0.4,0.89,0,0,699.8616,666.046755568185,0.018286399052516,0.508,26.7285,30.5362,18.8091,0.6453,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0344,1.1758,0.816,4.2217,184.9934,357.6645,0.0332,1.1751,0.8015,4.0048,184.9748,357.8091,1,-0.0321,0.0038,-0.0249,-0.0386,0.0645,0.9972,0.0308,0.0058,-0.0234,-0.0917,0.0673,0.9935,0.0357,1.1816,0.8252,-0.0242,-0.0013,-0.9997,1,Player1Face,-0.0002,1.1796,-0.6622,Player1Face,15788816381,0.0096,0.7946,0.3107,337.2308,48.8478,342.9483,FingerCubeReady,LongSiding1,-0.0136,1.1704,-0.6509,0.4948,2.357,356.8166,0.0272,0.0149,0.9996,359.0634,1.4838,0,-0.0127,0.0149,0.9997,359.0654,359.2082,0,Player2Face,0.0595,1.1818,0.8282,0.0049,0.7986,-0.2948,350.0764,226.7434,353.3602,FingerCubeReady,TABLE_Folding,679.2412,0,1,Cube3,0.4,0.89,0,0,699.8725,666.057334068185,0.018286399052516,0.508,26.7443,30.5325,18.7954,0.6404,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0345,1.1758,0.8159,4.2509,184.985,357.6914,0.0331,1.175,0.8015,4.023,184.9587,357.8329,1,-0.0321,0.0038,-0.0249,-0.0387,0.0648,0.9971,0.0308,0.0058,-0.0234,-0.091,0.068,0.9935,0.0357,1.1815,0.8251,-0.0242,-0.0012,-0.9997,1,Player1Face,-0.0003,1.1798,-0.6622,Player1Face,15788824713,0.0096,0.7946,0.3107,337.2287,48.8511,342.9506,FingerCubeReady,LongSiding1,-0.0137,1.1705,-0.6509,0.4921,2.369,356.766,0.0258,0.0153,0.9996,359.0888,1.5064,0,-0.0108,0.0153,0.9997,359.0905,359.249,0,Player2Face,0.0602,1.1825,0.828,0.0049,0.7987,-0.2949,350.0962,226.7631,353.3393,FingerCubeReady,TABLE_Folding,679.2525,0,1,Cube3,0.4,0.89,0,0,699.8837,666.068781868185,0.018286399052516,0.508,26.7423,30.5406,18.8004,0.6435,0
joint,7540,3,Responder,5,2,4,Initiator,0,3,2,3,1,0,0.0345,1.1758,0.8158,4.2937,184.9814,357.7185,0.0331,1.175,0.8014,4.0511,184.9547,357.8617,1,-0.0321,0.0038,-0.0249,-0.0388,0.0651,0.9971,0.0308,0.0058,-0.0234,-0.0912,0.0686,0.9935,0.0357,1.1815,0.825,-0.0239,-0.0013,-0.9997,1,Player1Face,0.0001,1.1796,-0.6623,Player1Face,15788833044,0.0096,0.7946,0.3106,337.2269,48.8541,342.9458,FingerCubeReady,LongSiding1,-0.0138,1.1705,-0.6509,0.5078,2.368,356.7279,0.0246,0.0153,0.9997,359.1031,1.4945,0,-0.0071,0.0153,0.9997,359.1044,359.3271,0,Player2Face,0.0621,1.1819,0.8283,0.0049,0.7987,-0.2949,350.0956,226.7653,353.3378,FingerCubeReady,TABLE_Folding,679.2636,0,1,Cube3,0.4,0.89,0,0,699.895,666.079757768185,0.018286399052516,0.508,26.7467,30.5286,18.7956,0.6525,0
