Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.015,1.1967,0.8376,5.4232,179.6685,357.5183,-0.0151,1.1952,0.8225,5.3359,179.677,357.5597,1,-0.0318,0.004,-0.0242,0.0205,0.0991,0.9949,0.031,0.0073,-0.0235,-0.0253,0.0983,0.9948,-0.0151,1.2031,0.8458,0.0039,0.0058,-1,1,Player1Face,-0.0094,1.2115,-0.6226,Player1Face,7836587738,-0.0019,0.7992,0.3046,342.6786,52.6616,345.7714,FingerCubeReady,TABLE_Folding,-0.0209,1.1874,-0.6144,5.8982,359.054,357.2205,0.0503,0.1069,0.9935,353.6497,2.9835,0,0.0062,0.1069,0.9937,353.6455,0.4884,0,Player2Face,0.0035,1.1927,0.8535,0.0069,0.7953,-0.3028,349.9066,211.4189,350.1965,FingerCubeReady,TABLE_Folding,1455.367,0,1,Cube2,0,0.89,0,0,1416.734,1407.5510819,0.0177081131613452,0.3178,50.7427,20.655,19.8923,1.0451,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1967,0.8375,5.4286,179.691,357.4918,-0.0151,1.1952,0.8224,5.3458,179.6607,357.5498,1,-0.0318,0.004,-0.0242,0.0205,0.099,0.9949,0.031,0.0073,-0.0235,-0.0247,0.0981,0.9949,-0.0151,1.2031,0.8456,0.0038,0.0054,-1,1,Player1Face,-0.0095,1.2111,-0.6225,Player1Face,7836604401,-0.0019,0.7992,0.3046,342.6659,52.668,345.7736,FingerCubeReady,TABLE_Folding,-0.0208,1.1876,-0.6142,5.7273,359.113,357.2191,0.0486,0.1036,0.9939,353.8001,2.9243,0,0.0039,0.1036,0.9941,353.7978,0.3983,0,Player2Face,0.002,1.1923,0.8535,0.0069,0.7953,-0.3028,350.0771,211.3858,350.1768,FingerCubeReady,TABLE_Folding,1455.389,0,1,Cube2,0,0.89,0,0,1416.756,1407.572976,0.0177081131613452,0.3178,50.7357,20.6395,19.8755,1.0205,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1967,0.8375,5.4386,179.699,357.4756,-0.0151,1.1952,0.8224,5.3685,179.6527,357.5349,1,-0.0318,0.004,-0.0242,0.0208,0.0984,0.9949,0.031,0.0073,-0.0235,-0.0243,0.0984,0.9948,-0.0151,1.2031,0.8456,0.0036,0.0049,-1,1,Player1Face,-0.0098,1.2103,-0.6224,Player1Face,7836621064,-0.0019,0.7992,0.3046,342.6841,52.6728,345.7746,FingerCubeReady,TABLE_Folding,-0.0208,1.1877,-0.6142,5.7003,359.1508,357.2213,0.0478,0.103,0.994,353.8815,2.8828,0,0.0022,0.103,0.9942,353.8798,0.3341,0,Player2Face,0.001,1.1924,0.8533,0.0069,0.7953,-0.3029,350.3661,211.3481,350.1992,FingerCubeReady,TABLE_Folding,1455.401,0,1,Cube2,0,0.89,0,0,1416.767,1407.5846931,0.0177081131613452,0.3178,50.7324,20.6079,19.8429,0.9842,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1966,0.8374,5.4709,179.6846,357.4682,-0.015,1.1952,0.8224,5.3747,179.6484,357.5339,1,-0.0318,0.004,-0.0242,0.0212,0.0981,0.9949,0.031,0.0074,-0.0235,-0.0243,0.0987,0.9948,-0.0151,1.2031,0.8457,0.0035,0.0048,-1,1,Player1Face,-0.0099,1.2101,-0.6225,Player1Face,7836629395,-0.0019,0.7992,0.3045,342.6723,52.6821,345.779,FingerCubeReady,TABLE_Folding,-0.0209,1.1876,-0.6143,5.6792,359.1768,357.2249,0.048,0.103,0.994,353.9436,2.8483,0,0.002,0.103,0.9942,353.9421,0.2751,0,Player2Face,0.0018,1.1929,0.8534,0.0069,0.7954,-0.3029,350.4763,211.3926,350.1472,FingerCubeReady,TABLE_Folding,1455.411,0,1,Cube2,0,0.89,0,0,1416.778,1407.5952939,0.0177081131613452,0.3178,50.7232,20.6008,19.8329,0.9782,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1966,0.8374,5.4988,179.6824,357.4583,-0.015,1.1952,0.8225,5.3919,179.6414,357.5303,1,-0.0318,0.004,-0.0242,0.0213,0.0979,0.995,0.031,0.0074,-0.0235,-0.0242,0.0986,0.9948,-0.015,1.2031,0.8457,0.0035,0.0043,-1,1,Player1Face,-0.0099,1.2094,-0.6226,Player1Face,7836637727,-0.0019,0.7992,0.3045,342.6646,52.6773,345.7792,FingerCubeReady,TABLE_Folding,-0.0209,1.1877,-0.6143,5.6497,359.2365,357.2395,0.0442,0.1005,0.9945,354.0472,2.7663,0,0.0013,0.1005,0.9944,354.0449,0.1771,0,Player2Face,-0.0004,1.1902,0.8541,0.0068,0.7954,-0.303,350.6739,211.3749,350.1501,FingerCubeReady,TABLE_Folding,1455.434,0,1,Cube2,0,0.89,0,0,1416.79,1407.6069115,0.0177081131613452,0.3178,50.7258,20.5762,19.8055,0.9559,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1966,0.8375,5.5152,179.6686,357.438,-0.015,1.1952,0.8225,5.4133,179.6439,357.5307,1,-0.0318,0.004,-0.0242,0.022,0.0983,0.9949,0.031,0.0074,-0.0235,-0.0242,0.0992,0.9948,-0.015,1.2031,0.8457,0.0031,0.0044,-1,1,Player1Face,-0.0105,1.2096,-0.6226,Player1Face,7836654390,-0.0019,0.7992,0.3046,342.6704,52.6628,345.7662,FingerCubeReady,TABLE_Folding,-0.021,1.1877,-0.6142,5.6176,359.242,357.235,0.0445,0.0976,0.9947,354.1203,2.7089,0,0.0016,0.0976,0.9947,354.1184,0.1456,0,Player2Face,0.0001,1.1868,0.8555,0.0068,0.7954,-0.303,350.7379,211.3024,350.2076,FingerCubeReady,TABLE_Folding,1455.445,0,1,Cube2,0,0.89,0,0,1416.801,1407.6184178,0.0177081131613452,0.3178,50.7453,20.5838,19.8139,0.9516,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1966,0.8375,5.525,179.659,357.4192,-0.015,1.1952,0.8225,5.417,179.6466,357.5294,1,-0.0318,0.004,-0.0242,0.0222,0.0986,0.9949,0.031,0.0074,-0.0235,-0.024,0.0995,0.9947,-0.015,1.2031,0.8458,0.0028,0.0047,-1,1,Player1Face,-0.0109,1.21,-0.6225,Player1Face,7836662722,-0.0019,0.7992,0.3046,342.6713,52.6536,345.7758,FingerCubeReady,TABLE_Folding,-0.021,1.1877,-0.6142,5.6047,359.2661,357.2595,0.0437,0.1027,0.9937,354.164,2.6566,0,0.0026,0.1027,0.9948,354.1622,0.132,0,Player2Face,0.0011,1.19,0.8543,0.0068,0.7954,-0.3031,350.7093,211.4497,350.1032,FingerCubeReady,TABLE_Folding,1455.456,0,1,Cube2,0,0.89,0,0,1416.812,1407.6286608,0.0177081131613452,0.3178,50.7435,20.5986,19.8241,0.9588,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1965,0.8375,5.5167,179.667,357.4016,-0.0149,1.1953,0.8226,5.4207,179.6575,357.529,1,-0.0318,0.004,-0.0242,0.0226,0.099,0.9948,0.031,0.0074,-0.0235,-0.0244,0.0999,0.9947,-0.0149,1.2032,0.8458,0.0026,0.005,-1,1,Player1Face,-0.0111,1.2105,-0.6224,Player1Face,7836671053,-0.0019,0.7992,0.3046,342.6769,52.6523,345.7658,FingerCubeReady,TABLE_Folding,-0.021,1.1877,-0.6142,5.6047,359.2661,357.2595,0.0437,0.1027,0.9937,354.164,2.6566,0,0.0026,0.1027,0.9948,354.1622,0.132,0,Player2Face,0.0011,1.19,0.8543,0.0068,0.7955,-0.3032,350.7178,211.5201,350.0683,FingerCubeReady,TABLE_Folding,1455.456,0,1,Cube2,0,0.89,0,0,1416.823,1407.6409011,0.0177081131613452,0.3179,50.7522,20.6203,19.8423,0.9746,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0151,1.1965,0.8375,5.5205,179.6594,357.377,-0.0149,1.1953,0.8227,5.4242,179.6663,357.5152,1,-0.0318,0.004,-0.0242,0.0225,0.099,0.9948,0.031,0.0074,-0.0235,-0.0235,0.1,0.9947,-0.015,1.2033,0.8459,0.002,0.005,-1,1,Player1Face,-0.0121,1.2105,-0.6224,Player1Face,7836687716,-0.0019,0.7992,0.3046,342.6829,52.6593,345.7685,FingerCubeReady,TABLE_Folding,-0.021,1.1877,-0.6142,5.5252,359.2823,357.2848,0.0437,0.1018,0.9944,354.1864,2.5863,0,0.0032,0.1018,0.9942,354.1835,0.1444,0,Player2Face,0.0019,1.1958,0.8522,0.0068,0.7955,-0.3032,350.7178,211.5201,350.0683,FingerCubeReady,TABLE_Folding,1455.479,0,1,Cube2,0,0.89,0,0,1416.835,1407.6517074,0.0177081131613452,0.3178,50.7463,20.621,19.8431,0.9602,0
joint,2599,2,Initiator,2,6,4,Responder,-1,0,2,1,3,0,-0.0152,1.1965,0.8374,5.5192,179.661,357.3596,-0.015,1.1953,0.8227,5.4226,179.672,357.5151,1,-0.0318,0.004,-0.0242,0.0229,0.0986,0.9949,0.031,0.0074,-0.0235,-0.0239,0.1001,0.9947,-0.015,1.2032,0.8459,0.0019,0.0048,-1,1,Player1Face,-0.0122,1.2104,-0.6224,Player1Face,7836696048,-0.0019,0.7992,0.3046,342.6851,52.6655,345.7681,FingerCubeReady,TABLE_Folding,-0.021,1.1877,-0.6142,5.5252,359.2823,357.2848,0.0437,0.1018,0.9944,354.1864,2.5863,0,0.0032,0.1018,0.9942,354.1835,0.1444,0,Player2Face,0.0019,1.1958,0.8522,0.0068,0.7954,-0.3032,350.524,211.4994,350.1766,FingerCubeReady,TABLE_Folding,1455.479,0,1,Cube2,0,0.89,0,0,1416.845,1407.6626335,0.0177081131613452,0.3178,50.7431,20.6136,19.8368,0.9512,0
