Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0224,1.1867,0.8945,6.5313,182.459,0.0656,0.0217,1.1853,0.8796,6.4714,182.4567,0.0434,1,-0.0313,0.0042,-0.0231,-0.0023,0.1265,0.9919,0.0312,0.0051,-0.0224,-0.0456,0.1172,0.9921,0.0227,1.1924,0.9017,-0.0188,0.0093,-0.9998,1,Player1Face,-0.0071,1.2072,-0.6841,Player1Face,190247182072,-0.0032,0.8007,0.3005,356.6009,62.358,347.6671,FingerCubeReady,TABLE_Folding,-0.0043,1.1817,-0.6741,0.8564,3.4954,357.9762,-0.0475,0.0266,0.9984,358.4839,357.2604,0,-0.0719,0.0266,0.9972,358.4853,356.0134,0,Player2Face,-0.0021,1.2041,0.9067,0.0007,0.806,-0.3033,343.903,237.173,339.9382,FingerCubeReady,TABLE_Folding,192.4194,0,1,Cube2,0,0.89,0,0,195.8949,178.4237533,0.0138383167639143,0.3135,39.8322,19.0719,18.3124,0.9264,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0225,1.1867,0.8944,6.5669,182.4559,0.0736,0.0217,1.1852,0.8796,6.4991,182.4596,0.0462,1,-0.0313,0.0042,-0.0231,-0.0018,0.1267,0.9919,0.0312,0.0051,-0.0224,-0.0459,0.1181,0.9919,0.0227,1.1923,0.9017,-0.019,0.0093,-0.9998,1,Player1Face,-0.0074,1.2071,-0.684,Player1Face,190247207067,-0.0032,0.8007,0.3005,356.5955,62.3564,347.6664,FingerCubeReady,TABLE_Folding,-0.0041,1.1818,-0.6741,0.8237,3.5517,357.9375,-0.0477,0.0265,0.9984,358.4712,357.2677,0,-0.0731,0.0265,0.9971,358.4723,355.9278,0,Player2Face,-0.0017,1.205,0.9064,0.0007,0.806,-0.3032,343.8914,237.1681,339.9152,FingerCubeReady,TABLE_Folding,192.4426,0,1,Cube2,0,0.89,0,0,195.9168,178.4458467,0.0138383167639143,0.3135,39.8281,19.069,18.3103,0.9258,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0225,1.1866,0.8944,6.5759,182.4517,0.0759,0.0217,1.1851,0.8796,6.516,182.4632,0.0495,1,-0.0313,0.0042,-0.0231,-0.0016,0.1268,0.9919,0.0312,0.0051,-0.0224,-0.046,0.1182,0.9919,0.0227,1.1923,0.9017,-0.0191,0.0091,-0.9998,1,Player1Face,-0.0075,1.2068,-0.684,Player1Face,190247215398,-0.0032,0.8008,0.3005,356.591,62.3561,347.6668,FingerCubeReady,TABLE_Folding,-0.0041,1.1818,-0.6741,0.8024,3.5824,357.9112,-0.0454,0.025,0.9985,358.4829,357.2848,0,-0.0715,0.025,0.9972,358.4828,355.9025,0,Player2Face,0.0023,1.2031,0.9058,0.0007,0.806,-0.3032,343.8635,237.1823,339.9128,FingerCubeReady,TABLE_Folding,192.4528,0,1,Cube2,0,0.89,0,0,195.9274,178.4564365,0.0138383167639143,0.3135,39.8245,19.0577,18.2999,0.9149,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0225,1.1866,0.8944,6.5819,182.4481,0.07,0.0217,1.1851,0.8796,6.5235,182.4591,0.0576,1,-0.0313,0.0042,-0.0231,-0.0015,0.1271,0.9919,0.0312,0.0051,-0.0224,-0.0461,0.1187,0.9919,0.0228,1.1923,0.9017,-0.0189,0.0094,-0.9998,1,Player1Face,-0.0073,1.2072,-0.6841,Player1Face,190247223730,-0.0032,0.8008,0.3005,356.5864,62.357,347.6679,FingerCubeReady,TABLE_Folding,-0.004,1.1818,-0.6741,0.8017,3.6256,357.8997,-0.0461,0.0244,0.9985,358.5116,357.3102,0,-0.0719,0.0244,0.9972,358.5096,355.8905,0,Player2Face,0.0025,1.2021,0.9059,0.0007,0.806,-0.3033,343.8059,237.2195,339.8966,FingerCubeReady,TABLE_Folding,192.4643,0,1,Cube2,0,0.89,0,0,195.9383,178.467058,0.0138383167639143,0.3135,39.8209,19.0693,18.3124,0.9266,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0225,1.1866,0.8944,6.5875,182.439,0.0678,0.0218,1.185,0.8796,6.533,182.4594,0.0655,1,-0.0313,0.0042,-0.0231,-0.0014,0.1272,0.9919,0.0312,0.0051,-0.0224,-0.0458,0.1193,0.9918,0.0228,1.1922,0.9017,-0.0192,0.0096,-0.9998,1,Player1Face,-0.0076,1.2074,-0.6841,Player1Face,190247240393,-0.0032,0.8008,0.3005,356.5814,62.3508,347.6685,FingerCubeReady,TABLE_Folding,-0.0039,1.1818,-0.6741,0.7885,3.6669,357.8866,-0.0466,0.0246,0.9985,358.5385,357.3229,0,-0.0728,0.0246,0.9971,358.5356,355.8775,0,Player2Face,0.0026,1.2028,0.9057,0.0007,0.806,-0.3033,343.7816,237.2172,339.8851,FingerCubeReady,TABLE_Folding,192.4752,0,1,Cube2,0,0.89,0,0,195.9496,178.4785963,0.0138383167639143,0.3135,39.8218,19.0767,18.3208,0.935,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0225,1.1866,0.8944,6.5855,182.4497,0.0769,0.0218,1.185,0.8796,6.5468,182.4626,0.0649,1,-0.0313,0.0042,-0.0231,-0.0014,0.1273,0.9919,0.0312,0.0051,-0.0224,-0.0458,0.1194,0.9918,0.0228,1.1922,0.9016,-0.0192,0.0094,-0.9998,1,Player1Face,-0.0077,1.2072,-0.684,Player1Face,190247248724,-0.0032,0.8008,0.3005,356.5786,62.3524,347.6683,FingerCubeReady,TABLE_Folding,-0.0039,1.1818,-0.6741,0.7715,3.7055,357.8489,-0.0461,0.0229,0.9986,358.5722,357.3314,0,-0.073,0.0229,0.9971,358.5683,355.8601,0,Player2Face,0.0038,1.2007,0.9059,0.0007,0.806,-0.3032,343.7386,237.1946,339.8771,FingerCubeReady,TABLE_Folding,192.4864,0,1,Cube2,0,0.89,0,0,195.9607,178.4898227,0.0138383167639143,0.3135,39.8212,19.0677,18.3123,0.9264,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0226,1.1866,0.8944,6.6005,182.4391,0.0664,0.0218,1.185,0.8796,6.56,182.4588,0.0702,1,-0.0313,0.0042,-0.0231,-0.0013,0.1271,0.9919,0.0312,0.0051,-0.0224,-0.0455,0.1197,0.9918,0.0228,1.1922,0.9016,-0.0194,0.0092,-0.9998,1,Player1Face,-0.0079,1.2069,-0.684,Player1Face,190247257056,-0.0032,0.8008,0.3005,356.584,62.3546,347.6676,FingerCubeReady,TABLE_Folding,-0.0037,1.1818,-0.674,0.7695,3.7418,357.8268,-0.0464,0.0233,0.9986,358.6045,357.3373,0,-0.0734,0.0233,0.9971,358.6002,355.8422,0,Player2Face,0.0045,1.2015,0.9056,0.0007,0.806,-0.3032,343.7541,237.1975,339.8658,FingerCubeReady,TABLE_Folding,192.4975,0,1,Cube2,0,0.89,0,0,195.9718,178.5005197,0.0138383167639143,0.3135,39.8228,19.0566,18.3007,0.9192,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0226,1.1866,0.8944,6.6098,182.4285,0.0618,0.0218,1.1849,0.8795,6.5768,182.4511,0.075,1,-0.0313,0.0042,-0.0231,-0.0009,0.1273,0.9919,0.0312,0.0051,-0.0224,-0.0457,0.1201,0.9917,0.0228,1.1922,0.9016,-0.0193,0.0093,-0.9998,1,Player1Face,-0.0078,1.2069,-0.6839,Player1Face,190247273719,-0.0032,0.8008,0.3006,356.5788,62.3474,347.6668,FingerCubeReady,TABLE_Folding,-0.0037,1.1818,-0.6739,0.7434,3.7745,357.7902,-0.0466,0.0232,0.9986,358.6302,357.3375,0,-0.0735,0.0232,0.9971,358.6263,355.8226,0,Player2Face,0.0051,1.2022,0.9053,0.0007,0.8059,-0.3032,343.7266,237.1853,339.8761,FingerCubeReady,TABLE_Folding,192.5101,0,1,Cube2,0,0.89,0,0,195.9831,178.5123162,0.0138383167639143,0.3136,39.8253,19.0569,18.3028,0.9192,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0226,1.1866,0.8944,6.6101,182.4313,0.0625,0.0219,1.1849,0.8795,6.5815,182.4483,0.0704,1,-0.0313,0.0042,-0.0231,-0.001,0.1273,0.9919,0.0312,0.0051,-0.0224,-0.0458,0.1201,0.9917,0.0229,1.1922,0.9016,-0.0192,0.0092,-0.9998,1,Player1Face,-0.0076,1.2067,-0.6838,Player1Face,190247282050,-0.0032,0.8008,0.3006,356.5817,62.3513,347.6688,FingerCubeReady,TABLE_Folding,-0.0037,1.1818,-0.6739,0.7446,3.7948,357.7773,-0.047,0.0238,0.9985,358.64,357.3322,0,-0.0743,0.0238,0.997,358.6372,355.8047,0,Player2Face,0.0048,1.2031,0.9052,0.0007,0.806,-0.3032,343.743,237.1917,339.8705,FingerCubeReady,TABLE_Folding,192.5203,0,1,Cube2,0,0.89,0,0,195.9942,178.523017,0.0138383167639143,0.3135,39.825,19.0526,18.2977,0.913,0
joint,7522,2,Responder,3,5,1,Initiator,0,2,2,3,1,0,0.0226,1.1865,0.8944,6.6062,182.4212,0.0666,0.0219,1.1849,0.8795,6.5856,182.4421,0.0685,1,-0.0313,0.0042,-0.0231,-0.0007,0.1273,0.9919,0.0312,0.0051,-0.0224,-0.0459,0.1202,0.9917,0.0229,1.1921,0.9016,-0.0192,0.0091,-0.9998,1,Player1Face,-0.0075,1.2066,-0.6838,Player1Face,190247290382,-0.0032,0.8008,0.3005,356.5822,62.3512,347.6683,FingerCubeReady,TABLE_Folding,-0.0036,1.1818,-0.6739,0.7378,3.8243,357.7667,-0.0475,0.0237,0.9985,358.6431,357.3211,0,-0.0743,0.0237,0.997,358.6413,355.7856,0,Player2Face,0.0053,1.2032,0.905,0.0007,0.8059,-0.3032,343.7503,237.1815,339.8806,FingerCubeReady,TABLE_Folding,192.5307,0,1,Cube2,0,0.89,0,0,196.0055,178.5345355,0.0138383167639143,0.3135,39.8264,19.0488,18.2949,0.9102,0
