Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0292,1.1776,0.8013,5.3192,184.9113,357.4623,0.0277,1.1765,0.787,5.1807,185.0587,357.3795,1,-0.0322,0.0038,-0.0249,-0.0472,0.0769,0.9959,0.0307,0.0059,-0.0235,-0.0996,0.0746,0.9922,0.0303,1.1836,0.8105,-0.0183,-0.0111,-0.9998,1,Player1Face,0.0039,1.1676,-0.6301,Player1Face,15850727943,0.0004,0.7949,0.3103,335.1739,47.804,345.0936,FingerCubeReady,PlasterWallLong1,-0.0135,1.1637,-0.6184,359.5485,359.7945,358.2913,0.025,0.0039,0.9997,359.7363,1.4782,0,-0.0085,0.0039,0.9999,359.7397,359.5491,0,Player2Face,-0.0064,1.1828,0.8222,0.006,0.7974,-0.3008,353.5233,195.5358,343.7985,FingerCubeReady,TABLE_Folding,741.1607,0,1,Cube1,-0.4,0.89,0,0,761.7908,727.97289685,0.0155547608384821,0.5154,102.8317,31.5032,18.5241,0.7209,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0292,1.1775,0.8013,5.3411,184.8852,357.4496,0.0277,1.1765,0.787,5.2046,185.0486,357.404,1,-0.0322,0.0038,-0.0249,-0.047,0.0765,0.996,0.0307,0.0059,-0.0235,-0.0999,0.0754,0.9921,0.0303,1.1835,0.8104,-0.0181,-0.0113,-0.9998,1,Player1Face,0.0042,1.1672,-0.6301,Player1Face,15850736275,0.0004,0.7949,0.3103,335.1783,47.8074,345.0832,FingerCubeReady,PlasterWallLong1,-0.0134,1.1636,-0.6185,359.5458,359.8005,358.3027,0.0249,0.0043,0.9997,359.7495,1.4614,0,-0.0085,0.0043,0.9999,359.7517,359.5369,0,Player2Face,-0.0063,1.1834,0.8219,0.006,0.7974,-0.3008,353.5233,195.5358,343.7985,FingerCubeReady,TABLE_Folding,741.1718,0,1,Cube1,-0.4,0.89,0,0,761.8024,727.98442465,0.0155547608384821,0.5154,102.8322,31.5068,18.5076,0.7295,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0293,1.1774,0.8012,5.3728,184.8605,357.4344,0.0278,1.1764,0.7869,5.2492,185.0266,357.456,1,-0.0322,0.0038,-0.0249,-0.0464,0.0766,0.996,0.0307,0.0059,-0.0235,-0.0993,0.0757,0.9922,0.0303,1.1835,0.8104,-0.0182,-0.012,-0.9998,1,Player1Face,0.0041,1.1662,-0.6303,Player1Face,15850752938,0.0004,0.7949,0.3103,335.1928,47.8117,345.0717,FingerCubeReady,PlasterWallLong1,-0.0134,1.1636,-0.6185,359.556,359.7949,358.3231,0.0247,0.0045,0.9997,359.7521,1.4459,0,-0.0093,0.0045,0.9999,359.7533,359.5192,0,Player2Face,-0.0072,1.1835,0.8221,0.006,0.7974,-0.3008,353.5232,195.5413,343.8062,FingerCubeReady,TABLE_Folding,741.1833,0,1,Cube1,-0.4,0.89,0,0,761.814,727.99577925,0.0155547608384821,0.5154,102.8309,31.4825,18.4719,0.716,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0292,1.1774,0.8011,5.4243,184.8344,357.4307,0.0278,1.1764,0.7869,5.2551,185.0081,357.4599,1,-0.0322,0.0038,-0.0249,-0.0464,0.0765,0.996,0.0307,0.0059,-0.0235,-0.0998,0.076,0.9921,0.0304,1.1834,0.8103,-0.0177,-0.012,-0.9998,1,Player1Face,0.0048,1.1662,-0.6304,Player1Face,15850761269,0.0004,0.7949,0.3104,335.1752,47.8006,345.0714,FingerCubeReady,PlasterWallLong1,-0.0134,1.1636,-0.6185,359.5704,359.7996,358.3441,0.0245,0.0047,0.9997,359.7485,1.4315,0,-0.0087,0.0047,0.9999,359.7488,359.5061,0,Player2Face,-0.0068,1.1834,0.8219,0.006,0.7974,-0.3008,353.5195,195.5533,343.8006,FingerCubeReady,TABLE_Folding,741.1949,0,1,Cube1,-0.4,0.89,0,0,761.8251,728.00714715,0.0155547608384821,0.5154,102.8414,31.5081,18.4691,0.7476,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0293,1.1773,0.8011,5.4541,184.8112,357.4219,0.0278,1.1764,0.7868,5.2647,184.9943,357.4608,1,-0.0322,0.0038,-0.0249,-0.0465,0.0766,0.996,0.0307,0.0059,-0.0234,-0.1,0.0768,0.992,0.0304,1.1834,0.8103,-0.0173,-0.0116,-0.9998,1,Player1Face,0.0055,1.1667,-0.6305,Player1Face,15850769601,0.0004,0.7949,0.3104,335.1805,47.8021,345.0685,FingerCubeReady,PlasterWallLong1,-0.0134,1.1636,-0.6185,359.5868,359.8011,358.3687,0.0246,0.0065,0.9997,359.7272,1.4217,0,-0.0092,0.0065,0.9998,359.7263,359.4973,0,Player2Face,-0.0069,1.1857,0.8212,0.006,0.7974,-0.3008,353.5188,195.558,343.7972,FingerCubeReady,TABLE_Folding,741.206,0,1,Cube1,-0.4,0.89,0,0,761.8354,728.01713035,0.0155547608384821,0.5154,102.8405,31.5406,18.4877,0.7748,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0293,1.1773,0.801,5.4985,184.7924,357.4113,0.0279,1.1763,0.7867,5.2795,184.955,357.4746,1,-0.0322,0.0038,-0.0249,-0.0463,0.0769,0.996,0.0307,0.0059,-0.0234,-0.0994,0.0777,0.992,0.0304,1.1834,0.8102,-0.017,-0.0114,-0.9998,1,Player1Face,0.0059,1.167,-0.6305,Player1Face,15850786264,0.0004,0.7949,0.3104,335.1808,47.8027,345.0592,FingerCubeReady,PlasterWallLong1,-0.0135,1.1637,-0.6186,359.5849,359.7931,358.3827,0.0247,0.0067,0.9997,359.6951,1.4169,0,-0.0087,0.0067,0.9998,359.6931,359.4937,0,Player2Face,-0.0067,1.1861,0.8208,0.006,0.7974,-0.3008,353.5137,195.5627,343.7914,FingerCubeReady,TABLE_Folding,741.217,0,1,Cube1,-0.4,0.89,0,0,761.8468,728.02892255,0.0155547608384821,0.5154,102.844,31.5659,18.5024,0.7972,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0293,1.1772,0.801,5.5374,184.7868,357.3976,0.0279,1.1762,0.7866,5.2918,184.9384,357.473,1,-0.0322,0.0038,-0.0249,-0.0459,0.0764,0.996,0.0307,0.0059,-0.0234,-0.099,0.0784,0.992,0.0304,1.1833,0.8101,-0.0172,-0.0115,-0.9998,1,Player1Face,0.0056,1.1667,-0.6306,Player1Face,15850794596,0.0004,0.7949,0.3104,335.1862,47.8074,345.0525,FingerCubeReady,PlasterWallLong1,-0.0135,1.1637,-0.6185,359.5952,359.786,358.3949,0.0248,0.0078,0.9997,359.6552,1.4165,0,-0.0085,0.0078,0.9998,359.6523,359.4975,0,Player2Face,-0.0065,1.1874,0.8203,0.006,0.7975,-0.3008,353.5043,195.5633,343.7813,FingerCubeReady,TABLE_Folding,741.2285,0,1,Cube1,-0.4,0.89,0,0,761.8588,728.04056055,0.0155547608384821,0.5154,102.8423,31.5537,18.4914,0.7866,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0293,1.1771,0.8009,5.5906,184.7785,357.3918,0.0279,1.1762,0.7865,5.3073,184.9225,357.4674,1,-0.0322,0.0038,-0.0249,-0.0454,0.077,0.996,0.0307,0.0059,-0.0234,-0.0986,0.0789,0.992,0.0304,1.1833,0.81,-0.0173,-0.0112,-0.9998,1,Player1Face,0.0055,1.1671,-0.6305,Player1Face,15850802927,0.0004,0.7949,0.3104,335.189,47.8144,345.0539,FingerCubeReady,PlasterWallLong1,-0.0136,1.1636,-0.6185,359.5921,359.7771,358.3978,0.0241,0.0075,0.9997,359.6228,1.4115,0,-0.0075,0.0075,0.9998,359.6198,359.5114,0,Player2Face,-0.0067,1.1871,0.8204,0.006,0.7975,-0.3008,353.5022,195.5657,343.7745,FingerCubeReady,TABLE_Folding,741.2393,0,1,Cube1,-0.4,0.89,0,0,761.8693,728.05132995,0.0155547608384821,0.5154,102.8355,31.5586,18.5051,0.7863,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0294,1.1771,0.8008,5.6455,184.772,357.3869,0.0279,1.1761,0.7864,5.3397,184.8869,357.4504,1,-0.0322,0.0038,-0.0249,-0.0451,0.077,0.996,0.0307,0.0059,-0.0234,-0.0981,0.0802,0.9919,0.0304,1.1832,0.8099,-0.0171,-0.0111,-0.9998,1,Player1Face,0.0057,1.1672,-0.6305,Player1Face,15850819590,0.0003,0.7949,0.3103,335.1991,47.824,345.0469,FingerCubeReady,PlasterWallLong1,-0.0136,1.1636,-0.6185,359.6009,359.7626,358.3845,0.0235,0.0078,0.9997,359.5977,1.3969,0,-0.0068,0.0078,0.9999,359.5951,359.5372,0,Player2Face,-0.0069,1.1872,0.8203,0.006,0.7975,-0.3008,353.4964,195.5643,343.7722,FingerCubeReady,TABLE_Folding,741.2506,0,1,Cube1,-0.4,0.89,0,0,761.8804,728.06255035,0.0155547608384821,0.5154,102.8293,31.574,18.5103,0.7984,0
joint,7501,1,Responder,1,3,5,Initiator,0,1,3,1,2,0,0.0294,1.177,0.8008,5.7037,184.7735,357.3927,0.028,1.176,0.7864,5.3623,184.8687,357.4395,1,-0.0322,0.0038,-0.0248,-0.0448,0.0772,0.996,0.0307,0.0059,-0.0234,-0.0978,0.0807,0.9919,0.0305,1.1831,0.8098,-0.0172,-0.0111,-0.9998,1,Player1Face,0.0057,1.1671,-0.6305,Player1Face,15850827922,0.0004,0.7949,0.3103,335.1971,47.8265,345.0479,FingerCubeReady,PlasterWallLong1,-0.0137,1.1636,-0.6185,359.6142,359.7557,358.3864,0.0236,0.0081,0.9997,359.5774,1.3813,0,-0.0065,0.0081,0.9998,359.5752,359.5654,0,Player2Face,-0.0067,1.1873,0.8201,0.006,0.7975,-0.3008,353.4884,195.5652,343.768,FingerCubeReady,TABLE_Folding,741.2617,0,1,Cube1,-0.4,0.89,0,0,761.8917,728.07353225,0.0155547608384821,0.5154,102.8273,31.5718,18.5059,0.7982,0
