Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0166,1.1966,0.835,6.7284,180.089,356.0367,-0.017,1.195,0.82,6.7357,180.1533,355.9184,1,-0.0318,0.0041,-0.0243,0.0128,0.1227,0.9924,0.031,0.0076,-0.0237,-0.0324,0.1214,0.9921,-0.0169,1.2036,0.8432,-0.0016,0.0052,-1,1,Player1Face,-0.0193,1.2114,-0.6565,Player1Face,8587741369,-0.0017,0.8014,0.2929,347.4568,51.3413,345.7945,FingerCubeReady,TABLE_Folding,-0.0117,1.1858,-0.6462,0.4823,1.9605,354.5691,-0.035,0.015,0.9994,359.1895,358.0108,0,-0.0667,0.015,0.9974,359.1937,356.2125,0,Player2Face,-0.0361,1.2039,0.847,-0.0052,0.7984,-0.3016,348.9957,212.8501,345.0133,FingerCubeReady,TABLE_Folding,2206.567,0,1,Cube2,0,0.89,0,0,2167.924,2158.7459638,0.0124488867865835,0.306,51.1825,20.733,19.7987,1.0234,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1966,0.835,6.7332,180.075,356.0423,-0.017,1.195,0.82,6.7468,180.1418,355.9162,1,-0.0318,0.0041,-0.0243,0.0132,0.123,0.9923,0.031,0.0076,-0.0237,-0.0313,0.1209,0.9922,-0.0169,1.2037,0.8431,-0.0022,0.0049,-1,1,Player1Face,-0.0201,1.211,-0.6565,Player1Face,8587758032,-0.0017,0.8014,0.2928,347.4582,51.349,345.7932,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.6461,0.4858,1.954,354.5671,-0.0352,0.0152,0.9994,359.1707,358.0021,0,-0.0672,0.0152,0.9974,359.1745,356.1937,0,Player2Face,-0.0369,1.2042,0.8471,-0.0052,0.7984,-0.3016,348.9957,212.8501,345.0133,FingerCubeReady,TABLE_Folding,2206.578,0,1,Cube2,0,0.89,0,0,2167.935,2158.7571322,0.0124488867865835,0.306,51.1781,20.7204,19.785,1.0232,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1966,0.8351,6.7391,180.0721,356.0557,-0.017,1.195,0.82,6.7425,180.1376,355.9194,1,-0.0318,0.0041,-0.0243,0.0137,0.1234,0.9922,0.031,0.0076,-0.0237,-0.0313,0.1204,0.9922,-0.0169,1.2036,0.8432,-0.0023,0.0049,-1,1,Player1Face,-0.0203,1.2109,-0.6564,Player1Face,8587766363,-0.0017,0.8014,0.2928,347.4611,51.3715,345.7891,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.646,0.4658,1.9554,354.5732,-0.0356,0.0142,0.9994,359.1646,357.9912,0,-0.067,0.0142,0.9974,359.167,356.1793,0,Player2Face,-0.0372,1.2032,0.8475,-0.0052,0.7985,-0.3016,348.996,212.8516,345.0124,FingerCubeReady,TABLE_Folding,2206.589,0,1,Cube2,0,0.89,0,0,2167.946,2158.7682889,0.0124488867865835,0.3059,51.1677,20.7166,19.7808,1.0218,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0166,1.1966,0.8351,6.7438,180.0725,356.0663,-0.017,1.195,0.8201,6.7388,180.137,355.9244,1,-0.0318,0.0041,-0.0243,0.0142,0.1235,0.9922,0.031,0.0076,-0.0237,-0.0308,0.1205,0.9922,-0.0169,1.2036,0.8432,-0.0028,0.005,-1,1,Player1Face,-0.0211,1.2111,-0.6564,Player1Face,8587774695,-0.0017,0.8013,0.2928,347.4572,51.3747,345.7918,FingerCubeReady,TABLE_Folding,-0.0117,1.1858,-0.646,0.4534,1.9612,354.5675,-0.0344,0.0137,0.9994,359.1743,357.9915,0,-0.0674,0.0137,0.9974,359.1744,356.1668,0,Player2Face,-0.0366,1.2027,0.8475,-0.0052,0.7985,-0.3016,348.9984,212.8525,345.0078,FingerCubeReady,TABLE_Folding,2206.601,0,1,Cube2,0,0.89,0,0,2167.957,2158.7793647,0.0124488867865835,0.3059,51.1646,20.7229,19.785,1.0365,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0166,1.1967,0.8351,6.7454,180.0798,356.0516,-0.017,1.195,0.8201,6.7423,180.1413,355.938,1,-0.0318,0.0041,-0.0242,0.0148,0.1227,0.9923,0.031,0.0076,-0.0237,-0.031,0.1212,0.9921,-0.017,1.2036,0.8432,-0.003,0.0049,-1,1,Player1Face,-0.0215,1.2109,-0.6564,Player1Face,8587791358,-0.0017,0.8013,0.2928,347.4533,51.3706,345.7892,FingerCubeReady,TABLE_Folding,-0.0117,1.1858,-0.646,0.4459,1.9469,354.5693,-0.0349,0.0132,0.9994,359.1891,357.9963,0,-0.067,0.0132,0.9975,359.1876,356.1599,0,Player2Face,-0.0371,1.2023,0.8478,-0.0052,0.7985,-0.3016,348.9979,212.8524,345.0084,FingerCubeReady,TABLE_Folding,2206.611,0,1,Cube2,0,0.89,0,0,2167.968,2158.7903134,0.0124488867865835,0.306,51.1702,20.7149,19.7771,1.0351,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1967,0.8351,6.7531,180.0779,356.023,-0.017,1.1949,0.82,6.7514,180.145,355.9506,1,-0.0318,0.0041,-0.0242,0.0144,0.1226,0.9923,0.031,0.0076,-0.0237,-0.0306,0.1217,0.9921,-0.0169,1.2036,0.8432,-0.0031,0.0049,-1,1,Player1Face,-0.0215,1.2109,-0.6564,Player1Face,8587799689,-0.0017,0.8013,0.2928,347.4462,51.379,345.7828,FingerCubeReady,TABLE_Folding,-0.0117,1.1858,-0.646,0.4566,1.9428,354.5656,-0.0345,0.0134,0.9994,359.2047,358.0023,0,-0.0669,0.0134,0.9975,359.2023,356.1573,0,Player2Face,-0.0368,1.2022,0.8478,-0.0052,0.7985,-0.3016,348.9976,212.853,345.0078,FingerCubeReady,TABLE_Folding,2206.622,0,1,Cube2,0,0.89,0,0,2167.979,2158.8014028,0.0124488867865835,0.3059,51.1701,20.7171,19.7791,1.0361,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0166,1.1967,0.835,6.7411,180.0895,355.984,-0.0169,1.1949,0.82,6.7584,180.1477,355.9671,1,-0.0318,0.0041,-0.0242,0.0147,0.1227,0.9923,0.031,0.0076,-0.0237,-0.0307,0.1214,0.9921,-0.0169,1.2035,0.8431,-0.0032,0.0046,-1,1,Player1Face,-0.0216,1.2105,-0.6564,Player1Face,8587808021,-0.0017,0.8013,0.2928,347.4377,51.3861,345.7785,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.646,0.4541,1.9481,354.5583,-0.035,0.0135,0.9994,359.2153,358.0051,0,-0.0669,0.0135,0.9975,359.213,356.1577,0,Player2Face,-0.0369,1.2024,0.8477,-0.0052,0.7985,-0.3016,348.9967,212.8531,345.0085,FingerCubeReady,TABLE_Folding,2206.634,0,1,Cube2,0,0.89,0,0,2167.99,2158.8126096,0.0124488867865835,0.3059,51.1695,20.7024,19.7646,1.0239,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1967,0.835,6.7583,180.1051,355.9602,-0.0169,1.1949,0.82,6.7584,180.1381,355.9938,1,-0.0318,0.0041,-0.0242,0.0148,0.1226,0.9923,0.031,0.0076,-0.0237,-0.0302,0.1211,0.9922,-0.0168,1.2035,0.8431,-0.0032,0.0045,-1,1,Player1Face,-0.0216,1.2102,-0.6564,Player1Face,8587824684,-0.0017,0.8013,0.2928,347.4362,51.3945,345.782,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.646,0.4484,1.9462,354.5534,-0.0346,0.0127,0.9994,359.2267,358.0067,0,-0.0678,0.0127,0.9974,359.2242,356.1527,0,Player2Face,-0.0374,1.2016,0.8481,-0.0052,0.7985,-0.3016,348.9973,212.8536,345.0056,FingerCubeReady,TABLE_Folding,2206.645,0,1,Cube2,0,0.89,0,0,2168.002,2158.8241685,0.0124488867865835,0.3059,51.1621,20.6898,19.7515,1.0126,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1967,0.8349,6.7531,180.1408,355.937,-0.0169,1.1949,0.82,6.7568,180.1281,355.9969,1,-0.0318,0.0041,-0.0242,0.0148,0.1226,0.9923,0.031,0.0076,-0.0237,-0.0309,0.1212,0.9921,-0.0168,1.2035,0.8431,-0.0027,0.0046,-1,1,Player1Face,-0.0209,1.2104,-0.6563,Player1Face,8587833016,-0.0017,0.8014,0.2927,347.41,51.4108,345.7863,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.6459,0.4526,1.9376,354.5418,-0.0342,0.0126,0.9994,359.242,358.0131,0,-0.0673,0.0126,0.9975,359.2391,356.1457,0,Player2Face,-0.037,1.2012,0.8482,-0.0052,0.7985,-0.3016,348.9973,212.8526,345.0077,FingerCubeReady,TABLE_Folding,2206.656,0,1,Cube2,0,0.89,0,0,2168.013,2158.8350204,0.0124488867865835,0.3059,51.1497,20.6931,19.7567,1.0068,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,-0.0167,1.1967,0.8349,6.7799,180.1642,355.9459,-0.0168,1.1949,0.82,6.7549,180.1188,355.9981,1,-0.0318,0.0041,-0.0242,0.0146,0.1226,0.9923,0.031,0.0076,-0.0237,-0.0311,0.122,0.992,-0.0168,1.2035,0.8432,-0.0024,0.005,-1,1,Player1Face,-0.0204,1.211,-0.6563,Player1Face,8587841347,-0.0017,0.8014,0.2928,347.4001,51.4075,345.7774,FingerCubeReady,TABLE_Folding,-0.0116,1.1858,-0.6459,0.4579,1.9445,354.5411,-0.0346,0.0126,0.9994,359.2549,358.0173,0,-0.0676,0.0126,0.9974,359.2521,356.1403,0,Player2Face,-0.0373,1.201,0.8483,-0.0052,0.7985,-0.3016,348.9984,212.8533,345.0074,FingerCubeReady,TABLE_Folding,2206.667,0,1,Cube2,0,0.89,0,0,2168.024,2158.8462678,0.0124488867865835,0.3059,51.159,20.7169,19.7807,1.023,0
