Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0168,1.1956,0.8415,5.6726,181.8474,356.8387,-0.0174,1.1941,0.8266,5.6039,181.8925,356.7659,1,-0.0319,0.004,-0.0241,-0.0152,0.0985,0.995,0.0309,0.0074,-0.0234,-0.0589,0.0947,0.9938,-0.0164,1.2021,0.8497,-0.0015,0.001,-1,1,Player1Face,-0.0186,1.2035,-0.6289,Player1Face,7035644913,0.0052,0.7977,0.2977,341.7152,56.8127,347.5165,FingerCubeReady,TABLE_Folding,-0.0262,1.1901,-0.6195,2.9622,358.6376,357.9795,0.0243,0.057,0.9982,356.8174,1.4562,0,-0.0112,0.057,0.9982,356.8141,359.3039,0,Player2Face,-0.049,1.1989,0.8589,0.004,0.7955,-0.3068,347.6775,214.1788,345.4259,FingerCubeReady,TABLE_Folding,654.3903,0,1,Cube2,0,0.89,0,0,615.7567,606.56958675,0.0137730095639684,0.3118,47.6063,20.2516,19.4506,0.5987,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0168,1.1956,0.8415,5.6607,181.834,356.8376,-0.0173,1.1941,0.8266,5.6055,181.8883,356.7737,1,-0.0319,0.004,-0.0241,-0.0148,0.0985,0.995,0.0309,0.0074,-0.0234,-0.0588,0.095,0.9937,-0.0164,1.202,0.8497,-0.0017,0.0011,-1,1,Player1Face,-0.0188,1.2036,-0.6289,Player1Face,7035653245,0.0052,0.7977,0.2978,341.7063,56.8078,347.5149,FingerCubeReady,TABLE_Folding,-0.0262,1.1901,-0.6195,2.9622,358.6437,357.999,0.0238,0.0554,0.9984,356.7935,1.4272,0,-0.009,0.0554,0.9982,356.7911,359.3419,0,Player2Face,-0.0476,1.1964,0.8592,0.004,0.7955,-0.3068,347.6775,214.1788,345.4259,FingerCubeReady,TABLE_Folding,654.4016,0,1,Cube2,0,0.89,0,0,615.7681,606.58121665,0.0137730095639684,0.3118,47.6087,20.2579,19.4569,0.5997,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8416,5.6522,181.8278,356.8064,-0.0174,1.1941,0.8266,5.5998,181.8856,356.7802,1,-0.0319,0.004,-0.0241,-0.0143,0.0982,0.9951,0.0309,0.0074,-0.0234,-0.0592,0.0948,0.9937,-0.0164,1.202,0.8497,-0.0016,0.001,-1,1,Player1Face,-0.0188,1.2034,-0.6289,Player1Face,7035661577,0.0052,0.7977,0.2978,341.6888,56.8087,347.5166,FingerCubeReady,TABLE_Folding,-0.0262,1.1902,-0.6195,2.973,358.6766,358.0235,0.0244,0.0519,0.9988,356.8214,1.4105,0,-0.0107,0.0519,0.9981,356.8198,359.3705,0,Player2Face,-0.0479,1.1909,0.8613,0.004,0.7956,-0.3068,347.6898,214.198,345.395,FingerCubeReady,TABLE_Folding,654.4125,0,1,Cube2,0,0.89,0,0,615.7795,606.59234735,0.0137730095639684,0.3118,47.6061,20.2495,19.4462,0.5928,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8416,5.6366,181.8204,356.7938,-0.0173,1.1941,0.8266,5.6137,181.8828,356.7784,1,-0.0319,0.004,-0.0241,-0.0146,0.0984,0.995,0.0309,0.0074,-0.0234,-0.0597,0.0948,0.9937,-0.0164,1.2021,0.8497,-0.0012,0.0008,-1,1,Player1Face,-0.0181,1.2033,-0.6289,Player1Face,7035678240,0.0052,0.7978,0.2977,341.678,56.8093,347.5202,FingerCubeReady,TABLE_Folding,-0.0262,1.1902,-0.6195,3.0092,358.6934,358.0435,0.0241,0.0518,0.9988,356.8783,1.4009,0,-0.0117,0.0518,0.9981,356.8771,359.3739,0,Player2Face,-0.0485,1.1899,0.862,0.004,0.7956,-0.3067,347.6944,214.1749,345.4207,FingerCubeReady,TABLE_Folding,654.424,0,1,Cube2,0,0.89,0,0,615.7903,606.60341055,0.0137730095639684,0.3118,47.6022,20.2428,19.4399,0.5997,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8416,5.6351,181.8217,356.7704,-0.0173,1.1941,0.8266,5.6296,181.8831,356.7824,1,-0.0319,0.004,-0.0241,-0.014,0.0985,0.995,0.0309,0.0074,-0.0234,-0.0596,0.0947,0.9937,-0.0163,1.2021,0.8497,-0.0015,0.0005,-1,1,Player1Face,-0.0186,1.2029,-0.6289,Player1Face,7035686571,0.0052,0.7978,0.2978,341.6757,56.805,347.5226,FingerCubeReady,TABLE_Folding,-0.0262,1.1901,-0.6195,3.0186,358.7286,358.075,0.0256,0.0522,0.9987,356.9249,1.406,0,-0.013,0.0522,0.9981,356.9237,359.3539,0,Player2Face,-0.0475,1.1902,0.8615,0.004,0.7955,-0.3067,347.6813,214.1609,345.4414,FingerCubeReady,TABLE_Folding,654.4351,0,1,Cube2,0,0.89,0,0,615.8015,606.61470505,0.0137730095639684,0.3118,47.6031,20.2293,19.4275,0.5788,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8416,5.6317,181.8205,356.737,-0.0173,1.1941,0.8266,5.6478,181.882,356.7949,1,-0.0319,0.004,-0.0241,-0.0143,0.0987,0.995,0.0309,0.0074,-0.0234,-0.0595,0.0949,0.9937,-0.0163,1.2021,0.8497,-0.0014,0.0004,-1,1,Player1Face,-0.0184,1.2027,-0.6289,Player1Face,7035694903,0.0052,0.7977,0.2978,341.6732,56.806,347.5179,FingerCubeReady,TABLE_Folding,-0.0262,1.1901,-0.6195,3.0612,358.7426,358.0887,0.028,0.054,0.9986,356.9426,1.4444,0,-0.014,0.054,0.9979,356.9409,359.3136,0,Player2Face,-0.0461,1.191,0.8608,0.004,0.7956,-0.3067,347.6898,214.1798,345.4202,FingerCubeReady,TABLE_Folding,654.4471,0,1,Cube2,0,0.89,0,0,615.8131,606.62601245,0.0137730095639684,0.3118,47.6081,20.2204,19.4172,0.5761,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8416,5.649,181.8377,356.7159,-0.0173,1.1941,0.8266,5.6686,181.8549,356.8292,1,-0.0319,0.004,-0.0241,-0.0147,0.0987,0.995,0.0309,0.0074,-0.0234,-0.0593,0.095,0.9937,-0.0163,1.2021,0.8497,-0.0008,0,-1,1,Player1Face,-0.0175,1.2021,-0.629,Player1Face,7035711566,0.0052,0.7977,0.2977,341.6736,56.8088,347.5166,FingerCubeReady,TABLE_Folding,-0.0262,1.19,-0.6196,3.0898,358.7835,358.1135,0.0273,0.0547,0.9986,356.9342,1.4823,0,-0.0144,0.0547,0.9979,356.9319,359.2768,0,Player2Face,-0.0458,1.1922,0.8602,0.004,0.7956,-0.3067,347.6931,214.1659,345.4368,FingerCubeReady,TABLE_Folding,654.457,0,1,Cube2,0,0.89,0,0,615.824,606.63713135,0.0137730095639684,0.3118,47.6086,20.1978,19.3959,0.5825,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0167,1.1956,0.8417,5.6818,181.85,356.7269,-0.0173,1.1941,0.8266,5.6687,181.8431,356.8383,1,-0.0319,0.004,-0.0241,-0.0145,0.0991,0.995,0.0309,0.0074,-0.0234,-0.0596,0.0948,0.9937,-0.0163,1.2021,0.8497,-0.0005,0.0002,-1,1,Player1Face,-0.0171,1.2024,-0.6291,Player1Face,7035719897,0.0052,0.7977,0.2977,341.6749,56.8154,347.5199,FingerCubeReady,TABLE_Folding,-0.0263,1.1901,-0.6196,3.1212,358.808,358.1114,0.0272,0.0564,0.9985,356.903,1.513,0,-0.0149,0.0564,0.9978,356.8999,359.2374,0,Player2Face,-0.0456,1.1939,0.8595,0.004,0.7956,-0.3067,347.6951,214.1764,345.4156,FingerCubeReady,TABLE_Folding,654.4683,0,1,Cube2,0,0.89,0,0,615.8348,606.64757455,0.0137730095639684,0.3117,47.6023,20.206,19.4015,0.5994,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0168,1.1957,0.8416,5.7174,181.8757,356.7232,-0.0172,1.1941,0.8266,5.6604,181.8338,356.8363,1,-0.0319,0.004,-0.0241,-0.0147,0.0985,0.995,0.0309,0.0074,-0.0234,-0.0597,0.0947,0.9937,-0.0163,1.2021,0.8497,-0.0002,-0.0001,-1,1,Player1Face,-0.0166,1.202,-0.6291,Player1Face,7035728229,0.0052,0.7977,0.2977,341.6788,56.8131,347.5157,FingerCubeReady,TABLE_Folding,-0.0263,1.1901,-0.6195,3.1502,358.834,358.132,0.0272,0.0567,0.9985,356.8576,1.534,0,-0.0145,0.0567,0.9978,356.854,359.2066,0,Player2Face,-0.0446,1.1937,0.8594,0.004,0.7957,-0.3067,347.6987,214.188,345.4032,FingerCubeReady,TABLE_Folding,654.4806,0,1,Cube2,0,0.89,0,0,615.846,606.65906285,0.0137730095639684,0.3118,47.6089,20.1911,19.3844,0.6,0
joint,7615,2,Initiator,4,6,2,Responder,-1,0,1,2,3,0,-0.0168,1.1957,0.8416,5.7451,181.8892,356.7407,-0.0172,1.1941,0.8266,5.6438,181.8238,356.7996,1,-0.0319,0.004,-0.0241,-0.0145,0.0983,0.995,0.0309,0.0074,-0.0234,-0.0603,0.095,0.9937,-0.0163,1.2021,0.8497,0.0001,0.0003,-1,1,Player1Face,-0.0161,1.2026,-0.629,Player1Face,7035744892,0.0052,0.7977,0.2977,341.6823,56.8063,347.5183,FingerCubeReady,TABLE_Folding,-0.0264,1.19,-0.6194,3.1699,358.8603,358.1525,0.0272,0.0567,0.9985,356.83,1.5429,0,-0.0145,0.0567,0.9978,356.8262,359.1937,0,Player2Face,-0.044,1.1931,0.8594,0.0041,0.7956,-0.3066,347.6998,214.1568,345.4167,FingerCubeReady,TABLE_Folding,654.4891,0,1,Cube2,0,0.89,0,0,615.8574,606.67035395,0.0137730095639684,0.3118,47.6124,20.2136,19.4087,0.6333,0
