Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0348,1.1873,0.8143,7.2879,183.4735,358.7673,0.0343,1.1863,0.8001,6.8877,183.4554,358.8748,1,-0.0316,0.0048,-0.0242,-0.0304,0.0781,0.9965,0.0314,0.0059,-0.0242,-0.0654,0.0795,0.9947,0.0357,1.1945,0.8234,-0.0139,-0.0403,-0.9991,1,Player1Face,0.0126,1.1274,-0.8418,Player1Face,17983398387,0.0019,0.7968,0.3125,338.8239,53.2637,348.6368,FingerCubeReady,TABLE_Folding,0.0063,1.1678,-0.9087,359.3575,2.2546,357.8727,0.0037,0.0123,0.9999,359.3611,0.2593,0,-0.0184,0.0123,0.9998,359.3618,359.0157,0,Player2Face,0.0626,1.2088,0.8237,0.0044,0.799,-0.2879,350.7733,239.6562,331.7526,FingerCubeReady,TABLE_Folding,2873.926,0,1,Cube2,0,0.89,0,0,2894.551,2860.73596875,0.01279635207604,0.3261,49.0243,18.046,17.2962,1.4363,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0348,1.1872,0.8142,7.3504,183.4973,358.767,0.0343,1.1862,0.8001,6.9529,183.4465,358.8987,1,-0.0316,0.0048,-0.0242,-0.0308,0.0793,0.9964,0.0314,0.0059,-0.0242,-0.0662,0.0811,0.9945,0.0357,1.1944,0.8234,-0.0131,-0.04,-0.9991,1,Player1Face,0.0139,1.1278,-0.8418,Player1Face,17983423381,0.0019,0.7967,0.3125,338.8296,53.2677,348.6284,FingerCubeReady,TABLE_Folding,0.0062,1.1678,-0.9086,359.3968,2.2551,357.8508,0.0058,0.013,0.9999,359.3167,0.2651,0,-0.0185,0.013,0.9998,359.3179,358.9762,0,Player2Face,0.0645,1.2087,0.824,0.0044,0.799,-0.2879,350.7672,239.6449,331.7594,FingerCubeReady,TABLE_Folding,2873.948,0,1,Cube2,0,0.89,0,0,2894.571,2860.75591975,0.01279635207604,0.3262,49.031,18.0607,17.3112,1.4285,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0348,1.1871,0.8141,7.3856,183.4969,358.7742,0.0343,1.1861,0.8,6.9759,183.4384,358.8979,1,-0.0316,0.0048,-0.0242,-0.0309,0.08,0.9963,0.0314,0.0059,-0.0242,-0.0662,0.081,0.9945,0.0357,1.1943,0.8234,-0.013,-0.0401,-0.9991,1,Player1Face,0.0141,1.1275,-0.8417,Player1Face,17983431713,0.0019,0.7967,0.3125,338.8418,53.2633,348.6231,FingerCubeReady,TABLE_Folding,0.0062,1.1677,-0.9085,359.4267,2.2484,357.8784,0.0065,0.0135,0.9999,359.2898,0.2931,0,-0.0181,0.0135,0.9998,359.2911,358.9661,0,Player2Face,0.0652,1.2087,0.824,0.0044,0.7989,-0.2878,350.7381,239.6147,331.7943,FingerCubeReady,TABLE_Folding,2873.96,0,1,Cube2,0,0.89,0,0,2894.583,2860.76755265,0.01279635207604,0.3262,49.0388,18.0514,17.3077,1.436,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0348,1.1871,0.8141,7.4362,183.5077,358.7845,0.0343,1.186,0.8,6.9866,183.4251,358.8862,1,-0.0316,0.0048,-0.0242,-0.0309,0.0802,0.9963,0.0314,0.0059,-0.0242,-0.0662,0.0817,0.9944,0.0357,1.1943,0.8233,-0.0127,-0.0398,-0.9991,1,Player1Face,0.0145,1.1279,-0.8417,Player1Face,17983440044,0.0019,0.7966,0.3125,338.8618,53.2795,348.6165,FingerCubeReady,TABLE_Folding,0.0062,1.1677,-0.9084,359.4255,2.2361,357.8887,0.0062,0.0128,0.9999,359.2734,0.318,0,-0.0168,0.0128,0.9998,359.2744,358.9748,0,Player2Face,0.0656,1.2074,0.8242,0.0044,0.7988,-0.2878,350.7191,239.5988,331.8042,FingerCubeReady,TABLE_Folding,2873.971,0,1,Cube2,0,0.89,0,0,2894.594,2860.77803365,0.01279635207604,0.3262,49.0341,18.0658,17.3246,1.4227,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0346,1.187,0.8141,7.4581,183.513,358.7636,0.0343,1.186,0.7999,7.0296,183.4291,358.864,1,-0.0316,0.0048,-0.0242,-0.0306,0.0804,0.9963,0.0314,0.0059,-0.0242,-0.0669,0.0821,0.9944,0.0356,1.1943,0.8233,-0.0126,-0.0402,-0.9991,1,Player1Face,0.0146,1.1273,-0.8416,Player1Face,17983456707,0.0019,0.7966,0.3125,338.8734,53.2764,348.6132,FingerCubeReady,TABLE_Folding,0.0062,1.1677,-0.9084,359.4391,2.2182,357.9066,0.0069,0.0129,0.9999,359.2671,0.3386,0,-0.0163,0.0129,0.9998,359.2678,358.9958,0,Player2Face,0.0662,1.2072,0.8243,0.0045,0.7988,-0.2878,350.727,239.5838,331.7935,FingerCubeReady,TABLE_Folding,2873.982,0,1,Cube2,0,0.89,0,0,2894.606,2860.79034075,0.01279635207604,0.3262,49.0401,18.0443,17.3023,1.4444,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0346,1.187,0.814,7.5119,183.5121,358.7517,0.0342,1.1859,0.7999,7.0388,183.4323,358.847,1,-0.0316,0.0048,-0.0242,-0.031,0.0813,0.9962,0.0314,0.0059,-0.0242,-0.0676,0.0826,0.9943,0.0356,1.1942,0.8232,-0.0122,-0.0396,-0.9991,1,Player1Face,0.0153,1.1282,-0.8418,Player1Face,17983465039,0.0019,0.7966,0.3125,338.8667,53.2783,348.6162,FingerCubeReady,TABLE_Folding,0.0061,1.1677,-0.9084,359.4676,2.1923,357.9261,0.0079,0.0138,0.9998,359.2554,0.3679,0,-0.0155,0.0138,0.9998,359.256,359.0263,0,Player2Face,0.067,1.2077,0.8243,0.0045,0.7988,-0.2878,350.7296,239.59,331.7907,FingerCubeReady,TABLE_Folding,2873.993,0,1,Cube2,0,0.89,0,0,2894.616,2860.80054945,0.01279635207604,0.3262,49.0375,18.075,17.3327,1.4229,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0346,1.1869,0.8139,7.5643,183.5089,358.7358,0.0342,1.1859,0.7999,7.0567,183.43,358.8397,1,-0.0316,0.0048,-0.0242,-0.0306,0.0818,0.9962,0.0314,0.0059,-0.0242,-0.0677,0.0826,0.9943,0.0356,1.1942,0.8232,-0.0123,-0.0397,-0.9991,1,Player1Face,0.0151,1.1279,-0.8416,Player1Face,17983473370,0.0019,0.7965,0.3125,338.8833,53.271,348.6134,FingerCubeReady,TABLE_Folding,0.006,1.1677,-0.9083,359.4773,2.1782,357.9372,0.0089,0.0159,0.9998,359.221,0.4065,0,-0.0167,0.0159,0.9998,359.2219,359.0445,0,Player2Face,0.0664,1.211,0.8235,0.0044,0.7989,-0.2879,350.7596,239.6138,331.7782,FingerCubeReady,TABLE_Folding,2874.004,0,1,Cube2,0,0.89,0,0,2894.627,2860.81214955,0.01279635207604,0.3262,49.0487,18.0666,17.3213,1.4283,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0345,1.1868,0.8139,7.6157,183.5137,358.7277,0.0342,1.1858,0.7998,7.1015,183.4323,358.8277,1,-0.0316,0.0048,-0.0242,-0.0314,0.0827,0.9961,0.0314,0.0059,-0.0242,-0.0681,0.0837,0.9942,0.0356,1.1941,0.8231,-0.0118,-0.0395,-0.9992,1,Player1Face,0.016,1.1284,-0.8417,Player1Face,17983490034,0.0019,0.7966,0.3125,338.8708,53.2778,348.614,FingerCubeReady,TABLE_Folding,0.0061,1.1677,-0.9084,359.4929,2.1588,357.9379,0.0095,0.0167,0.9998,359.1678,0.451,0,-0.0156,0.0167,0.9998,359.169,359.0598,0,Player2Face,0.0675,1.212,0.8236,0.0044,0.7989,-0.2879,350.7639,239.6066,331.7767,FingerCubeReady,TABLE_Folding,2874.016,0,1,Cube2,0,0.89,0,0,2894.639,2860.82326775,0.01279635207604,0.3261,49.0435,18.0832,17.3382,1.4187,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0344,1.1867,0.8138,7.671,183.5102,358.7117,0.0341,1.1857,0.7998,7.1281,183.4331,358.8232,1,-0.0316,0.0048,-0.0242,-0.0318,0.0832,0.996,0.0314,0.006,-0.0242,-0.0681,0.0842,0.9941,0.0355,1.194,0.8231,-0.0117,-0.0394,-0.9992,1,Player1Face,0.0161,1.1284,-0.8417,Player1Face,17983498365,0.0019,0.7965,0.3124,338.8832,53.2811,348.6189,FingerCubeReady,TABLE_Folding,0.0061,1.1676,-0.9083,359.5076,2.1449,357.9365,0.0172,0.0153,0.9997,359.1377,0.543,0,-0.0151,0.0153,0.9998,359.1388,359.0783,0,Player2Face,0.0741,1.2089,0.8256,0.0044,0.7988,-0.2878,350.7625,239.5943,331.7836,FingerCubeReady,TABLE_Folding,2874.026,0,1,Cube2,0,0.89,0,0,2894.65,2860.83441085,0.01279635207604,0.3261,49.0417,18.0828,17.3401,1.4158,0
joint,2602,2,Initiator,2,6,4,Responder,-1,0,3,2,1,0,0.0344,1.1866,0.8138,7.7297,183.5162,358.7052,0.0341,1.1856,0.7997,7.155,183.4417,358.8241,1,-0.0316,0.0048,-0.0242,-0.0322,0.0843,0.9959,0.0314,0.006,-0.0242,-0.0687,0.0848,0.994,0.0355,1.194,0.823,-0.0113,-0.039,-0.9992,1,Player1Face,0.0167,1.129,-0.8418,Player1Face,17983506697,0.0019,0.7965,0.3125,338.884,53.266,348.6253,FingerCubeReady,TABLE_Folding,0.006,1.1675,-0.9082,359.5364,2.1394,357.9292,0.0226,0.0189,0.9995,359.0912,0.7334,0,-0.0136,0.0189,0.9998,359.0914,359.1128,0,Player2Face,0.0803,1.2141,0.8268,0.0044,0.7988,-0.2878,350.7757,239.57,331.7838,FingerCubeReady,TABLE_Folding,2874.038,0,1,Cube2,0,0.89,0,0,2894.661,2860.84594015,0.01279635207604,0.3262,49.0419,18.1055,17.3625,1.4003,0
