Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.8339,7.4923,182.2285,358.1733,-0.018,1.1948,0.8191,7.4525,182.0987,358.3435,1,-0.0318,0.0044,-0.0246,-0.0064,0.1238,0.9923,0.0312,0.0055,-0.0234,-0.0682,0.1354,0.9884,-0.017,1.2028,0.8422,-0.0031,0.001,-1,1,Player1Face,-0.0216,1.2043,-0.6309,Player1Face,9636755350,-0.0093,0.8024,0.2938,340.9987,54.7353,346.3136,FingerCubeReady,TABLE_Folding,-0.0282,1.1857,-0.6198,357.2878,0.673,357.8605,-0.0084,-0.0365,0.9992,2.3024,359.9182,0,-0.0396,-0.0365,0.9987,2.3006,357.8848,0,Player2Face,-0.0485,1.204,0.85,0.0063,0.7956,-0.2891,353.4013,216.0078,346.6815,FingerCubeReady,TABLE_Folding,3255.624,0,1,Cube1,-0.4,0.89,0,0,3216.977,3207.80308715,0.0153670897581572,0.4966,94.9985,30.3186,19.8975,0.7758,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.8339,7.4962,182.2464,358.1767,-0.0181,1.1948,0.8191,7.4468,182.1045,358.3414,1,-0.0318,0.0044,-0.0246,-0.0064,0.1238,0.9923,0.0312,0.0055,-0.0234,-0.0685,0.1352,0.9884,-0.0171,1.2028,0.8422,-0.003,0.0011,-1,1,Player1Face,-0.0216,1.2044,-0.631,Player1Face,9636763682,-0.0093,0.8024,0.2938,340.9961,54.7339,346.3146,FingerCubeReady,TABLE_Folding,-0.0282,1.1857,-0.6198,357.2878,0.673,357.8605,-0.0084,-0.0365,0.9992,2.3024,359.9182,0,-0.0396,-0.0365,0.9987,2.3006,357.8848,0,Player2Face,-0.0485,1.204,0.85,0.0063,0.7956,-0.2891,353.4013,216.0078,346.6815,FingerCubeReady,TABLE_Folding,3255.624,0,1,Cube1,-0.4,0.89,0,0,3216.988,3207.81467135,0.0153670897581572,0.4966,94.9998,30.3217,19.9005,0.7798,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.8339,7.4883,182.2363,358.1862,-0.0181,1.1948,0.8191,7.4455,182.1138,358.3351,1,-0.0318,0.0044,-0.0246,-0.0058,0.124,0.9922,0.0312,0.0055,-0.0234,-0.0685,0.1348,0.9885,-0.0171,1.2028,0.8422,-0.0035,0.001,-1,1,Player1Face,-0.0223,1.2043,-0.6309,Player1Face,9636772013,-0.0093,0.8024,0.2939,340.9724,54.7167,346.3154,FingerCubeReady,TABLE_Folding,-0.0283,1.1856,-0.6198,357.3536,0.6598,357.8622,-0.008,-0.0364,0.9991,2.2098,359.6722,0,-0.04,-0.0364,0.9987,2.2124,357.7552,0,Player2Face,-0.0488,1.2025,0.8505,0.0063,0.7956,-0.2891,353.4013,216.0078,346.6815,FingerCubeReady,TABLE_Folding,3255.646,0,1,Cube1,-0.4,0.89,0,0,3216.999,3207.82537365,0.0153670897581572,0.4966,95.0177,30.295,19.897,0.7682,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.834,7.4763,182.2383,358.1893,-0.0181,1.1948,0.8192,7.4538,182.1458,358.317,1,-0.0318,0.0044,-0.0246,-0.0061,0.1238,0.9923,0.0312,0.0055,-0.0234,-0.0685,0.1354,0.9884,-0.0171,1.2028,0.8423,-0.0039,0.001,-1,1,Player1Face,-0.0229,1.2044,-0.6309,Player1Face,9636788676,-0.0093,0.8024,0.2939,340.9759,54.7304,346.3127,FingerCubeReady,TABLE_Folding,-0.0283,1.1856,-0.6198,357.3672,0.6598,357.8426,-0.0076,-0.0349,0.9992,2.1532,359.6179,0,-0.0403,-0.0349,0.9987,2.1572,357.7291,0,Player2Face,-0.0487,1.2044,0.8499,0.0063,0.7956,-0.2892,353.3936,216.0306,346.6755,FingerCubeReady,TABLE_Folding,3255.657,0,1,Cube1,-0.4,0.89,0,0,3217.011,3207.83693265,0.0153670897581572,0.4966,95.0067,30.275,19.8977,0.7641,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.834,7.4646,182.2215,358.1741,-0.0182,1.1948,0.8192,7.4564,182.1561,358.3162,1,-0.0318,0.0044,-0.0246,-0.0066,0.1239,0.9923,0.0312,0.0055,-0.0234,-0.0688,0.1353,0.9884,-0.0171,1.2029,0.8424,-0.0038,0.001,-1,1,Player1Face,-0.0227,1.2043,-0.6309,Player1Face,9636797008,-0.0093,0.8024,0.2939,340.9788,54.7366,346.3101,FingerCubeReady,TABLE_Folding,-0.0283,1.1856,-0.6198,357.3693,0.646,357.8604,-0.0076,-0.0338,0.9993,2.0945,359.5921,0,-0.0402,-0.0338,0.9987,2.0996,357.7139,0,Player2Face,-0.0489,1.206,0.8494,0.0063,0.7956,-0.2892,353.3905,216.0372,346.6769,FingerCubeReady,TABLE_Folding,3255.668,0,1,Cube1,-0.4,0.89,0,0,3217.022,3207.84835555,0.0153670897581572,0.4966,95.0025,30.2804,19.8951,0.7654,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.834,7.4523,182.2029,358.153,-0.0182,1.1948,0.8192,7.4552,182.164,358.3164,1,-0.0318,0.0044,-0.0246,-0.0062,0.1238,0.9923,0.0312,0.0055,-0.0234,-0.0684,0.1348,0.9885,-0.0172,1.2029,0.8424,-0.0043,0.0007,-1,1,Player1Face,-0.0235,1.2039,-0.6308,Player1Face,9636805339,-0.0093,0.8024,0.2938,340.9824,54.7458,346.3045,FingerCubeReady,TABLE_Folding,-0.0284,1.1857,-0.6198,357.3596,0.6585,357.8741,-0.0087,-0.0352,0.9992,2.0516,359.5683,0,-0.0407,-0.0352,0.9987,2.0562,357.7006,0,Player2Face,-0.0498,1.2042,0.8502,0.0063,0.7956,-0.2892,353.3941,216.0366,346.6842,FingerCubeReady,TABLE_Folding,3255.679,0,1,Cube1,-0.4,0.89,0,0,3217.033,3207.85921295,0.0153670897581572,0.4966,94.9976,30.2469,19.8822,0.7399,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.834,7.4577,182.1926,358.1302,-0.0182,1.1948,0.8192,7.4493,182.1808,358.3018,1,-0.0318,0.0044,-0.0246,-0.0064,0.1239,0.9923,0.0312,0.0055,-0.0234,-0.0677,0.1356,0.9884,-0.0172,1.2028,0.8424,-0.0049,0.0013,-1,1,Player1Face,-0.0244,1.2047,-0.6309,Player1Face,9636822002,-0.0094,0.8024,0.2939,340.9806,54.7374,346.3005,FingerCubeReady,TABLE_Folding,-0.0283,1.1858,-0.6197,357.3541,0.6749,357.8765,-0.0087,-0.0352,0.9992,2.0319,359.5452,0,-0.0389,-0.0352,0.9987,2.0351,357.7038,0,Player2Face,-0.0481,1.2043,0.8496,0.0063,0.7956,-0.2892,353.3955,216.0423,346.6769,FingerCubeReady,TABLE_Folding,3255.691,0,1,Cube1,-0.4,0.89,0,0,3217.045,3207.87129125,0.0153670897581572,0.4966,95.0048,30.2393,19.9147,0.758,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1967,0.834,7.4729,182.1868,358.1196,-0.0183,1.1948,0.8192,7.4601,182.1829,358.2874,1,-0.0318,0.0044,-0.0246,-0.0067,0.1239,0.9923,0.0312,0.0055,-0.0234,-0.0677,0.1354,0.9885,-0.0172,1.2029,0.8424,-0.0048,0.001,-1,1,Player1Face,-0.0243,1.2043,-0.6308,Player1Face,9636830334,-0.0094,0.8024,0.2939,340.965,54.7396,346.2946,FingerCubeReady,TABLE_Folding,-0.0283,1.1858,-0.6198,357.3391,0.6884,357.8819,-0.0095,-0.0347,0.9993,2.0189,359.5208,0,-0.04,-0.0347,0.9987,2.0211,357.7111,0,Player2Face,-0.0491,1.2055,0.8496,0.0063,0.7956,-0.2892,353.387,216.0392,346.6791,FingerCubeReady,TABLE_Folding,3255.702,0,1,Cube1,-0.4,0.89,0,0,3217.055,3207.88140235,0.0153670897581572,0.4966,95.0082,30.2309,19.8984,0.742,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0179,1.1966,0.834,7.4772,182.1774,358.1136,-0.0183,1.1948,0.8192,7.4663,182.1822,358.2731,1,-0.0318,0.0044,-0.0246,-0.0065,0.1239,0.9923,0.0312,0.0055,-0.0234,-0.0678,0.1357,0.9884,-0.0173,1.2029,0.8424,-0.0048,0.0011,-1,1,Player1Face,-0.0243,1.2045,-0.6308,Player1Face,9636838665,-0.0094,0.8024,0.2939,340.9699,54.7485,346.2862,FingerCubeReady,TABLE_Folding,-0.0283,1.1858,-0.6198,357.341,0.6815,357.8943,-0.0091,-0.0345,0.9993,2.0068,359.5023,0,-0.0399,-0.0345,0.9987,2.0085,357.7126,0,Player2Face,-0.0489,1.2057,0.8495,0.0063,0.7956,-0.2892,353.3773,216.0299,346.6894,FingerCubeReady,TABLE_Folding,3255.713,0,1,Cube1,-0.4,0.89,0,0,3217.066,3207.89242205,0.0153670897581572,0.4966,95.0037,30.2339,19.9056,0.747,0
joint,2519,1,Responder,3,5,1,Initiator,1,1,2,3,1,0,-0.0178,1.1966,0.8339,7.4999,182.1829,358.1255,-0.0183,1.1947,0.8192,7.453,182.1802,358.2595,1,-0.0318,0.0044,-0.0246,-0.0062,0.1238,0.9923,0.0312,0.0055,-0.0234,-0.0672,0.1361,0.9884,-0.0173,1.2028,0.8423,-0.0053,0.0015,-1,1,Player1Face,-0.0251,1.2049,-0.6308,Player1Face,9636855328,-0.0093,0.8024,0.2938,340.9574,54.7575,346.2838,FingerCubeReady,TABLE_Folding,-0.0283,1.1858,-0.6198,357.341,0.6815,357.8943,-0.0091,-0.0345,0.9993,2.0068,359.5023,0,-0.0399,-0.0345,0.9987,2.0085,357.7126,0,Player2Face,-0.0489,1.2057,0.8495,0.0063,0.7956,-0.2892,353.3725,216.0327,346.696,FingerCubeReady,TABLE_Folding,3255.713,0,1,Cube1,-0.4,0.89,0,0,3217.077,3207.90316355,0.0153670897581572,0.4966,95.0003,30.2218,19.926,0.759,0
