Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0395,1.1859,0.8099,7.0941,183.7037,358.0017,0.0385,1.1845,0.7955,6.7782,183.7342,358.1523,1,-0.0321,0.0039,-0.0248,-0.0104,0.0813,0.9966,0.0309,0.0061,-0.0236,-0.0707,0.0878,0.9936,0.0405,1.1924,0.8188,-0.0273,-0.0322,-0.9991,1,Player1Face,-0.0034,1.1406,-0.7862,Player1Face,17088734238,-0.001,0.7986,0.3003,337.8123,55.4484,352.6164,FingerCubeReady,TABLE_Folding,-0.0069,1.1341,-0.7884,2.439,1.379,353.6073,0.0156,0.0802,0.997,355.4816,1.2857,0,-0.0034,0.0802,0.9964,355.4773,0.0249,0,Player2Face,0.0564,1.1967,0.8201,0.0053,0.7986,-0.2904,348.4145,217.4876,344.326,FingerCubeReady,TABLE_Folding,1979.227,0,1,Cube1,-0.4,0.89,0,0,1999.851,1966.03845375,0.0111305161241571,0.5077,91.6042,30.7937,17.689,0.2572,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0394,1.1856,0.8097,7.1522,183.7194,357.9865,0.0385,1.1844,0.7955,6.8279,183.7458,358.1396,1,-0.0321,0.0039,-0.0247,-0.0101,0.0827,0.9965,0.0309,0.0061,-0.0236,-0.0711,0.0892,0.9935,0.0405,1.1922,0.8188,-0.0275,-0.0317,-0.9991,1,Player1Face,-0.0037,1.1413,-0.7862,Player1Face,17088759232,-0.001,0.7986,0.3003,337.7943,55.4612,352.5848,FingerCubeReady,TABLE_Folding,-0.0068,1.134,-0.7883,2.4402,1.3638,353.644,0.0009,0.0775,0.9977,355.5585,0.6853,0,-0.0331,0.0775,0.9956,355.5526,359.3601,0,Player2Face,0.0195,1.1965,0.823,0.0053,0.7986,-0.2904,348.4124,217.4879,344.3287,FingerCubeReady,TABLE_Folding,1979.249,0,1,Cube1,-0.4,0.89,0,0,1999.873,1966.05989975,0.0111305161241571,0.5076,91.6119,30.7982,17.7145,0.2798,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0393,1.1855,0.8097,7.2003,183.7266,357.972,0.0385,1.1843,0.7954,6.851,183.739,358.1211,1,-0.0321,0.0039,-0.0247,-0.01,0.0835,0.9964,0.0309,0.0061,-0.0236,-0.0706,0.09,0.9934,0.0404,1.1922,0.8187,-0.0278,-0.0313,-0.9991,1,Player1Face,-0.0042,1.1419,-0.7863,Player1Face,17088767564,-0.001,0.7986,0.3003,337.7912,55.4651,352.5755,FingerCubeReady,TABLE_Folding,-0.0069,1.1339,-0.7883,2.4472,1.3613,353.6669,0.0022,0.0792,0.9975,355.5575,0.4599,0,-0.033,0.0792,0.9956,355.5517,358.9641,0,Player2Face,0.0208,1.1988,0.822,0.0053,0.7986,-0.2904,348.4136,217.4878,344.3237,FingerCubeReady,TABLE_Folding,1979.26,0,1,Cube1,-0.4,0.89,0,0,1999.884,1966.07153255,0.0111305161241571,0.5076,91.6139,30.7965,17.7344,0.2954,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0393,1.1854,0.8095,7.2343,183.7349,357.9579,0.0384,1.1843,0.7953,6.8816,183.728,358.0826,1,-0.0321,0.0039,-0.0247,-0.0094,0.0846,0.9964,0.0309,0.0061,-0.0236,-0.0714,0.0911,0.9933,0.0404,1.1922,0.8186,-0.0276,-0.0307,-0.9991,1,Player1Face,-0.004,1.1429,-0.7862,Player1Face,17088784227,-0.001,0.7986,0.3003,337.8116,55.469,352.5709,FingerCubeReady,TABLE_Folding,-0.007,1.1341,-0.7885,2.4514,1.351,353.6696,-0.0011,0.0784,0.9975,355.542,0.3014,0,-0.0321,0.0784,0.9957,355.5365,358.677,0,Player2Face,0.0185,1.1975,0.8228,0.0053,0.7986,-0.2904,348.4127,217.4888,344.3216,FingerCubeReady,TABLE_Folding,1979.271,0,1,Cube1,-0.4,0.89,0,0,1999.895,1966.08222735,0.0111305161241571,0.5077,91.6116,30.8264,17.7709,0.3286,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0393,1.1854,0.8095,7.2476,183.7447,357.9881,0.0384,1.1843,0.7952,6.8973,183.7274,358.0658,1,-0.0321,0.0039,-0.0247,-0.0094,0.085,0.9963,0.0309,0.0061,-0.0236,-0.071,0.0914,0.9933,0.0403,1.1922,0.8185,-0.0278,-0.0306,-0.9991,1,Player1Face,-0.0043,1.143,-0.7862,Player1Face,17088792558,-0.001,0.7986,0.3003,337.8234,55.4885,352.5471,FingerCubeReady,TABLE_Folding,-0.0071,1.134,-0.7885,2.456,1.3545,353.6803,-0.0004,0.0791,0.9974,355.5247,0.1836,0,-0.0313,0.0791,0.9958,355.5194,358.4891,0,Player2Face,0.0199,1.1983,0.8222,0.0053,0.7986,-0.2904,348.4116,217.49,344.3184,FingerCubeReady,TABLE_Folding,1979.282,0,1,Cube1,-0.4,0.89,0,0,1999.906,1966.09404605,0.0111305161241571,0.5076,91.6056,30.8197,17.7743,0.3292,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0392,1.1853,0.8094,7.2655,183.7465,358.0031,0.0384,1.1842,0.7952,6.9147,183.7128,358.0586,1,-0.0321,0.0039,-0.0247,-0.0102,0.0854,0.9963,0.0309,0.0061,-0.0236,-0.0711,0.0912,0.9933,0.0403,1.1921,0.8185,-0.0271,-0.0308,-0.9992,1,Player1Face,-0.0032,1.1426,-0.7863,Player1Face,17088800890,-0.001,0.7986,0.3003,337.8239,55.492,352.5293,FingerCubeReady,TABLE_Folding,-0.0071,1.134,-0.7886,2.4494,1.35,353.6838,-0.0024,0.0753,0.9976,355.5366,0.0878,0,-0.0308,0.0753,0.9963,355.5312,358.3739,0,Player2Face,0.0177,1.1927,0.824,0.0053,0.7987,-0.2904,348.4144,217.49,344.3141,FingerCubeReady,TABLE_Folding,1979.294,0,1,Cube1,-0.4,0.89,0,0,1999.918,1966.10526495,0.0111305161241571,0.5076,91.6107,30.8485,17.7626,0.3334,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0391,1.1852,0.8093,7.32,183.7457,358.0133,0.0385,1.1843,0.7952,6.9486,183.7035,358.0315,1,-0.0321,0.0039,-0.0247,-0.0105,0.0863,0.9962,0.0309,0.0061,-0.0236,-0.0712,0.0911,0.9933,0.0404,1.1922,0.8185,-0.0268,-0.031,-0.9992,1,Player1Face,-0.0026,1.1425,-0.7864,Player1Face,17088817553,-0.001,0.7985,0.3002,337.8401,55.5212,352.5244,FingerCubeReady,TABLE_Folding,-0.007,1.1339,-0.7885,2.4609,1.3455,353.7039,-0.0016,0.0752,0.9975,355.5742,0.0159,0,-0.0275,0.0752,0.9964,355.5687,358.3348,0,Player2Face,0.0209,1.192,0.8234,0.0053,0.7987,-0.2904,348.4101,217.491,344.3078,FingerCubeReady,TABLE_Folding,1979.305,0,1,Cube1,-0.4,0.89,0,0,1999.929,1966.11625335,0.0111305161241571,0.5076,91.5897,30.8615,17.7574,0.3392,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.0391,1.1852,0.8092,7.3648,183.7597,358.0054,0.0385,1.1842,0.7952,6.9629,183.703,358.0242,1,-0.0321,0.0039,-0.0247,-0.0106,0.0862,0.9962,0.0309,0.0061,-0.0236,-0.0713,0.0908,0.9933,0.0404,1.1922,0.8185,-0.0267,-0.0314,-0.9991,1,Player1Face,-0.0025,1.1417,-0.7864,Player1Face,17088825884,-0.001,0.7986,0.3003,337.8245,55.4898,352.52,FingerCubeReady,TABLE_Folding,-0.0072,1.1338,-0.7886,2.4456,1.3275,353.7065,-0.0025,0.0751,0.9976,355.6088,359.9678,0,-0.024,0.0751,0.9965,355.6035,358.3668,0,Player2Face,0.0225,1.1921,0.823,0.0053,0.7987,-0.2904,348.4032,217.4884,344.3119,FingerCubeReady,TABLE_Folding,1979.316,0,1,Cube1,-0.4,0.89,0,0,1999.94,1966.12715115,0.0111305161241571,0.5076,91.6181,30.8518,17.7316,0.3226,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.039,1.1851,0.8091,7.4081,183.7648,357.9749,0.0385,1.1842,0.7952,6.9807,183.7019,358.016,1,-0.0321,0.0039,-0.0247,-0.0106,0.0866,0.9962,0.0309,0.0061,-0.0236,-0.0714,0.0912,0.9933,0.0404,1.1922,0.8185,-0.0267,-0.0313,-0.9992,1,Player1Face,-0.0024,1.1419,-0.7865,Player1Face,17088834216,-0.001,0.7985,0.3002,337.8307,55.5014,352.5129,FingerCubeReady,TABLE_Folding,-0.007,1.1338,-0.7888,2.4568,1.3164,353.7154,-0.0021,0.0753,0.9976,355.6362,359.9326,0,-0.0252,0.0753,0.9964,355.6313,358.4215,0,Player2Face,0.0215,1.192,0.823,0.0053,0.7987,-0.2904,348.3969,217.4851,344.3136,FingerCubeReady,TABLE_Folding,1979.327,0,1,Cube1,-0.4,0.89,0,0,1999.951,1966.13844635,0.0111305161241571,0.5076,91.6125,30.8567,17.7371,0.3269,0
joint,7580,1,Initiator,6,4,2,Responder,-1,0,1,3,2,0,0.039,1.185,0.809,7.4506,183.7784,357.8801,0.0385,1.1841,0.7951,7.0388,183.7001,357.9949,1,-0.0321,0.0039,-0.0247,-0.0109,0.0865,0.9962,0.0309,0.0062,-0.0236,-0.0717,0.0923,0.9931,0.0405,1.1921,0.8184,-0.0264,-0.0318,-0.9991,1,Player1Face,-0.0019,1.141,-0.7866,Player1Face,17088850879,-0.001,0.7985,0.3002,337.832,55.5032,352.5153,FingerCubeReady,TABLE_Folding,-0.0071,1.1339,-0.7889,2.4692,1.2886,353.7361,-0.0004,0.0758,0.9975,355.6504,359.9241,0,-0.0244,0.0758,0.9964,355.6458,358.4707,0,Player2Face,0.0228,1.1924,0.8226,0.0053,0.7986,-0.2904,348.3941,217.4855,344.3183,FingerCubeReady,TABLE_Folding,1979.338,0,1,Cube1,-0.4,0.89,0,0,1999.962,1966.14959975,0.0111305161241571,0.5076,91.6103,30.8584,17.7096,0.3103,0
