Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0262,1.1798,0.8139,7.1418,182.5737,357.3967,0.0254,1.1783,0.7993,6.995,182.7714,357.5059,1,-0.032,0.0037,-0.0242,-0.0133,0.1221,0.9924,0.0309,0.006,-0.0236,-0.0652,0.1224,0.9903,0.0269,1.1861,0.8224,-0.0144,0.0022,-0.9999,1,Player1Face,0.0056,1.1893,-0.6492,Player1Face,15493897059,0.008,0.7998,0.2728,337.4811,52.2332,346.7802,FingerCubeReady,TABLE_Folding,-0.0118,1.1746,-0.6378,0.6698,1.2407,358.7932,0.0366,0.0228,0.9992,358.6223,1.5922,0,0.0066,0.0228,0.9996,358.6229,0.0056,0,Player2Face,0.0524,1.193,0.8252,-0.0019,0.8,-0.3,352.949,201.313,340.238,FingerCubeReady,TABLE_Folding,384.3221,0,1,Cube2,0,0.89,0,0,404.9462,371.13295425,0.0120960442328049,0.2874,53.5107,19.9411,19.1131,0.897,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0262,1.1798,0.8138,7.1532,182.5661,357.3891,0.0254,1.1782,0.7993,7.0066,182.7426,357.4911,1,-0.0319,0.0037,-0.0241,-0.0127,0.1224,0.9924,0.0309,0.006,-0.0236,-0.065,0.1227,0.9903,0.0269,1.186,0.8223,-0.0144,0.0023,-0.9999,1,Player1Face,0.0057,1.1893,-0.6493,Player1Face,15493905391,0.008,0.7998,0.2728,337.4686,52.2386,346.7672,FingerCubeReady,TABLE_Folding,-0.0117,1.1746,-0.6378,0.6599,1.2379,358.7884,0.0371,0.0234,0.9991,358.6329,1.8034,0,0.0078,0.0234,0.9996,358.6343,0.1658,0,Player2Face,0.0536,1.194,0.8251,-0.0019,0.8,-0.3,352.949,201.313,340.238,FingerCubeReady,TABLE_Folding,384.3328,0,1,Cube2,0,0.89,0,0,404.9574,371.14390375,0.0120960442328049,0.2874,53.5187,19.9429,19.1154,0.9005,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0262,1.1798,0.8137,7.1738,182.5532,357.3568,0.0255,1.1781,0.7992,7.0347,182.689,357.4802,1,-0.0319,0.0037,-0.0241,-0.0123,0.1229,0.9923,0.0309,0.006,-0.0236,-0.0653,0.1232,0.9902,0.0269,1.1859,0.8222,-0.0136,0.0023,-0.9999,1,Player1Face,0.0069,1.1893,-0.6495,Player1Face,15493922054,0.008,0.7998,0.2728,337.4671,52.2385,346.7678,FingerCubeReady,TABLE_Folding,-0.0117,1.1746,-0.6378,0.6349,1.2223,358.7887,0.0376,0.0248,0.999,358.6299,1.9434,0,0.0092,0.0248,0.9996,358.6306,0.2917,0,Player2Face,0.0547,1.1968,0.8247,-0.0019,0.8,-0.3,352.9432,201.3477,340.225,FingerCubeReady,TABLE_Folding,384.344,0,1,Cube2,0,0.89,0,0,404.9691,371.15582145,0.0120960442328049,0.2874,53.5186,19.9452,19.1159,0.9363,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0262,1.1798,0.8136,7.1894,182.5483,357.3268,0.0255,1.1781,0.7991,7.0579,182.6638,357.4634,1,-0.0319,0.0037,-0.0241,-0.0122,0.1234,0.9923,0.0309,0.006,-0.0236,-0.065,0.1234,0.9902,0.0269,1.1859,0.8222,-0.0134,0.0022,-0.9999,1,Player1Face,0.0072,1.1892,-0.6496,Player1Face,15493930385,0.008,0.7999,0.2728,337.442,52.2412,346.7657,FingerCubeReady,TABLE_Folding,-0.0118,1.1746,-0.6379,0.6144,1.1932,358.7906,0.0367,0.0245,0.9991,358.618,2.0273,0,0.0102,0.0245,0.9996,358.6177,0.3989,0,Player2Face,0.0539,1.1969,0.8244,-0.0019,0.8,-0.3,352.9451,201.3406,340.2249,FingerCubeReady,TABLE_Folding,384.3561,0,1,Cube2,0,0.89,0,0,404.9798,371.16629635,0.0120960442328049,0.2874,53.5181,19.9419,19.112,0.9417,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0261,1.1797,0.8135,7.2023,182.5358,357.3123,0.0256,1.178,0.799,7.0971,182.6227,357.435,1,-0.0319,0.0037,-0.0241,-0.0118,0.1245,0.9921,0.0309,0.0061,-0.0236,-0.0646,0.1243,0.9901,0.0269,1.1858,0.8221,-0.0132,0.0026,-0.9999,1,Player1Face,0.0075,1.1896,-0.6497,Player1Face,15493947048,0.008,0.7998,0.2728,337.4602,52.2582,346.7528,FingerCubeReady,TABLE_Folding,-0.0118,1.1748,-0.6379,0.6048,1.1622,358.7809,0.0375,0.025,0.999,358.607,2.0677,0,0.0108,0.025,0.9996,358.6061,0.4688,0,Player2Face,0.0542,1.1978,0.8243,-0.0019,0.8,-0.3,352.9251,201.3566,340.226,FingerCubeReady,TABLE_Folding,384.3662,0,1,Cube2,0,0.89,0,0,404.9909,371.17766135,0.0120960442328049,0.2874,53.5192,19.9586,19.1288,0.9616,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0261,1.1796,0.8134,7.2313,182.5441,357.3003,0.0256,1.178,0.799,7.1177,182.6004,357.4186,1,-0.0319,0.0037,-0.0242,-0.0107,0.1246,0.9921,0.0309,0.0061,-0.0236,-0.0651,0.1252,0.99,0.0269,1.1858,0.8221,-0.0132,0.0027,-0.9999,1,Player1Face,0.0075,1.1898,-0.6497,Player1Face,15493955380,0.008,0.7998,0.2728,337.4703,52.2762,346.7377,FingerCubeReady,TABLE_Folding,-0.0119,1.1747,-0.6381,0.5956,1.1373,358.7851,0.038,0.0247,0.999,358.5971,2.1045,0,0.0111,0.0247,0.9996,358.5961,0.5314,0,Player2Face,0.0542,1.1975,0.8243,-0.0019,0.8,-0.3,352.9216,201.3491,340.2144,FingerCubeReady,TABLE_Folding,384.3779,0,1,Cube2,0,0.89,0,0,405.002,371.18869185,0.0120960442328049,0.2874,53.5185,19.9663,19.1355,0.9706,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0262,1.1796,0.8133,7.2734,182.5325,357.3001,0.0255,1.1779,0.799,7.1406,182.575,357.3977,1,-0.0319,0.0037,-0.0242,-0.0099,0.1248,0.9921,0.0309,0.0061,-0.0237,-0.0649,0.125,0.99,0.0269,1.1858,0.8221,-0.0133,0.0023,-0.9999,1,Player1Face,0.0074,1.1891,-0.6499,Player1Face,15493963711,0.008,0.7998,0.2728,337.4498,52.2773,346.7435,FingerCubeReady,TABLE_Folding,-0.0119,1.1747,-0.6382,0.5907,1.1081,358.7757,0.0386,0.0252,0.999,358.588,2.1365,0,0.0109,0.0252,0.9996,358.5869,0.571,0,Player2Face,0.0538,1.1984,0.824,-0.0019,0.8,-0.3,352.9229,201.3444,340.231,FingerCubeReady,TABLE_Folding,384.3893,0,1,Cube2,0,0.89,0,0,405.0132,371.19977185,0.0120960442328049,0.2874,53.5144,19.9391,19.109,0.9481,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0261,1.1795,0.8132,7.3185,182.5308,357.296,0.0255,1.1779,0.7989,7.1623,182.5604,357.3748,1,-0.0319,0.0037,-0.0243,-0.009,0.125,0.9921,0.0309,0.0061,-0.0237,-0.0642,0.1249,0.9901,0.0269,1.1858,0.822,-0.0138,0.0019,-0.9999,1,Player1Face,0.0065,1.1887,-0.6498,Player1Face,15493980374,0.008,0.7998,0.2728,337.4428,52.2701,346.7318,FingerCubeReady,TABLE_Folding,-0.0119,1.1747,-0.6383,0.6068,1.074,358.7755,0.0387,0.0257,0.999,358.5745,2.1636,0,0.0109,0.0257,0.9996,358.573,0.5936,0,Player2Face,0.0531,1.1987,0.8237,-0.0019,0.8,-0.3,352.9226,201.3337,340.2395,FingerCubeReady,TABLE_Folding,384.4002,0,1,Cube2,0,0.89,0,0,405.0245,371.21123205,0.0120960442328049,0.2874,53.53,19.9206,19.0911,0.9106,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0261,1.1794,0.8131,7.357,182.5406,357.2867,0.0255,1.1779,0.7988,7.1763,182.5524,357.352,1,-0.0319,0.0037,-0.0242,-0.0091,0.125,0.9921,0.0309,0.0061,-0.0237,-0.0633,0.1248,0.9901,0.0269,1.1858,0.8219,-0.0142,0.0017,-0.9999,1,Player1Face,0.006,1.1882,-0.6498,Player1Face,15493988706,0.008,0.7998,0.2728,337.4532,52.2728,346.7257,FingerCubeReady,TABLE_Folding,-0.0119,1.1746,-0.6384,0.63,1.0395,358.7686,0.0388,0.0261,0.999,358.5569,2.1846,0,0.0108,0.0261,0.9995,358.555,0.6061,0,Player2Face,0.0523,1.1988,0.8235,-0.0019,0.8,-0.3,352.9362,201.3293,340.2467,FingerCubeReady,TABLE_Folding,384.4109,0,1,Cube2,0,0.89,0,0,405.0353,371.22176005,0.0120960442328049,0.2874,53.5335,19.9053,19.0753,0.8882,0
joint,7613,2,Initiator,2,6,4,Responder,-1,0,3,1,2,0,0.0261,1.1793,0.8131,7.4108,182.5349,357.2764,0.0255,1.1779,0.7988,7.1887,182.5485,357.3281,1,-0.0319,0.0038,-0.0243,-0.0081,0.1251,0.9921,0.0309,0.0061,-0.0237,-0.0633,0.1253,0.9901,0.0268,1.1858,0.8219,-0.0146,0.0017,-0.9999,1,Player1Face,0.0053,1.1883,-0.6498,Player1Face,15493997037,0.008,0.7998,0.2727,337.4466,52.2836,346.716,FingerCubeReady,TABLE_Folding,-0.0121,1.1746,-0.6383,0.6488,1.0272,358.7736,0.0374,0.0276,0.999,358.5264,2.1882,0,0.0103,0.0276,0.9995,358.5235,0.6079,0,Player2Face,0.0505,1.2006,0.8227,-0.0019,0.8001,-0.2999,352.9487,201.3224,340.246,FingerCubeReady,TABLE_Folding,384.4222,0,1,Cube2,0,0.89,0,0,405.0468,371.23351005,0.0120960442328049,0.2874,53.5343,19.9062,19.0764,0.8725,0
