TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P1000_Player2_1095_joint_TrialID2557_Date_29_10_2020_131813.csv,2557,1,3,Responder,Initiator
joint,P1000_Player2_1203_joint_TrialID2558_Date_29_10_2020_133450.csv,2558,1,3,Responder,Initiator
joint,P1000_Player2_1270_joint_TrialID2559_Date_29_10_2020_134410.csv,2559,1,3,Responder,Initiator
joint,P1000_Player2_1403_joint_TrialID2560_Date_29_10_2020_140811.csv,2560,1,3,Responder,Initiator
joint,P1000_Player2_1101_joint_TrialID2561_Date_29_10_2020_131913.csv,2561,1,3,Responder,Initiator
joint,P1000_Player2_1006_joint_TrialID2562_Date_19_11_2020_145037.csv,2562,1,3,Responder,Initiator
joint,P1000_Player2_1124_joint_TrialID2563_Date_29_10_2020_132329.csv,2563,1,3,Responder,Initiator
joint,P1000_Player2_1086_joint_TrialID2564_Date_29_10_2020_131647.csv,2564,1,3,Responder,Initiator
joint,P1000_Player2_1078_joint_TrialID2565_Date_29_10_2020_131531.csv,2565,1,3,Responder,Initiator
joint,P1000_Player2_1246_joint_TrialID2566_Date_29_10_2020_134056.csv,2566,1,3,Responder,Initiator
joint,P1000_Player2_1153_joint_TrialID2567_Date_29_10_2020_132740.csv,2567,1,3,Responder,Initiator
joint,P1000_Player2_1073_joint_TrialID2568_Date_29_10_2020_131438.csv,2568,1,3,Responder,Initiator
joint,P1000_Player2_1021_joint_TrialID2569_Date_29_10_2020_130633.csv,2569,1,3,Responder,Initiator
joint,P1000_Player2_1109_joint_TrialID2570_Date_29_10_2020_132039.csv,2570,1,3,Responder,Initiator
joint,P1000_Player2_1012_joint_TrialID2571_Date_29_10_2020_130515.csv,2571,1,3,Responder,Initiator
joint,P1000_Player2_1238_joint_TrialID2572_Date_29_10_2020_133950.csv,2572,1,3,Responder,Initiator
joint,P1000_Player2_1260_joint_TrialID2573_Date_29_10_2020_134253.csv,2573,,1,Initiator,Responder
joint,P1000_Player2_1111_joint_TrialID2574_Date_29_10_2020_132133.csv,2574,,1,Initiator,Responder
joint,P1000_Player2_1156_joint_TrialID2575_Date_29_10_2020_132807.csv,2575,,1,Initiator,Responder
joint,P1000_Player2_1077_joint_TrialID2576_Date_29_10_2020_131520.csv,2576,,1,Initiator,Responder
joint,P1000_Player2_1364_joint_TrialID2577_Date_29_10_2020_140316.csv,2577,,1,Initiator,Responder
joint,P1000_Player2_1098_joint_TrialID2578_Date_29_10_2020_131841.csv,2578,,1,Initiator,Responder
joint,P1000_Player2_1093_joint_TrialID2579_Date_29_10_2020_131754.csv,2579,,1,Initiator,Responder
joint,P1000_Player2_1392_joint_TrialID2580_Date_29_10_2020_140643.csv,2580,,1,Initiator,Responder
joint,P1000_Player2_1166_joint_TrialID2581_Date_29_10_2020_132934.csv,2581,,1,Initiator,Responder
joint,P1000_Player2_1318_joint_TrialID2582_Date_29_10_2020_135713.csv,2582,,1,Initiator,Responder
joint,P1000_Player2_1060_joint_TrialID2583_Date_29_10_2020_131229.csv,2583,,1,Initiator,Responder
joint,P1000_Player2_1263_joint_TrialID2584_Date_29_10_2020_134315.csv,2584,,1,Initiator,Responder
joint,P1000_Player2_1425_joint_TrialID2585_Date_29_10_2020_141106.csv,2585,,1,Initiator,Responder
joint,P1000_Player2_1385_joint_TrialID2586_Date_29_10_2020_140548.csv,2586,,1,Initiator,Responder
joint,P1000_Player2_1174_joint_TrialID2587_Date_29_10_2020_133041.csv,2587,,1,Initiator,Responder
joint,P1000_Player2_1371_joint_TrialID2588_Date_29_10_2020_140405.csv,2588,,1,Initiator,Responder
joint,P1000_Player2_1266_joint_TrialID2589_Date_29_10_2020_134338.csv,2589,,1,Initiator,Responder
joint,P1000_Player2_1355_joint_TrialID2590_Date_29_10_2020_140205.csv,2590,,1,Initiator,Responder
joint,P1000_Player2_1217_joint_TrialID2591_Date_29_10_2020_133648.csv,2591,,1,Initiator,Responder
joint,P1000_Player2_1245_joint_TrialID2592_Date_29_10_2020_134047.csv,2592,,1,Initiator,Responder
joint,P1000_Player2_1195_joint_TrialID2593_Date_29_10_2020_133344.csv,2593,,1,Initiator,Responder
joint,P1000_Player2_1382_joint_TrialID2594_Date_29_10_2020_140526.csv,2594,,1,Initiator,Responder
joint,P1000_Player2_1342_joint_TrialID2595_Date_29_10_2020_140024.csv,2595,,1,Initiator,Responder
joint,P1000_Player2_1380_joint_TrialID2596_Date_29_10_2020_140510.csv,2596,,1,Initiator,Responder
joint,P1000_Player2_1130_joint_TrialID2597_Date_29_10_2020_132418.csv,2597,,2,Initiator,Responder
joint,P1000_Player2_1264_joint_TrialID2598_Date_29_10_2020_134323.csv,2598,,2,Initiator,Responder
joint,P1000_Player2_1137_joint_TrialID2599_Date_29_10_2020_132518.csv,2599,,2,Initiator,Responder
joint,P1000_Player2_1013_joint_TrialID2600_Date_29_10_2020_130524.csv,2600,,2,Initiator,Responder
joint,P1000_Player2_1365_joint_TrialID2601_Date_29_10_2020_140323.csv,2601,,2,Initiator,Responder
joint,P1000_Player2_1169_joint_TrialID2602_Date_29_10_2020_132959.csv,2602,,2,Initiator,Responder
joint,P1000_Player2_1046_joint_TrialID2603_Date_29_10_2020_131017.csv,2603,,2,Initiator,Responder
joint,P1000_Player2_1194_joint_TrialID2604_Date_29_10_2020_133336.csv,2604,,2,Initiator,Responder
joint,P1000_Player2_1068_joint_TrialID2605_Date_29_10_2020_131347.csv,2605,,2,Initiator,Responder
joint,P1000_Player2_1019_joint_TrialID2606_Date_29_10_2020_130615.csv,2606,,2,Initiator,Responder
joint,P1000_Player2_1284_joint_TrialID2607_Date_29_10_2020_135226.csv,2607,,2,Initiator,Responder
joint,P1000_Player2_1261_joint_TrialID2608_Date_29_10_2020_134300.csv,2608,,2,Initiator,Responder
joint,P1000_Player2_1049_joint_TrialID2609_Date_29_10_2020_131045.csv,2609,,2,Initiator,Responder
joint,P1000_Player2_1215_joint_TrialID2610_Date_29_10_2020_133632.csv,2610,,2,Initiator,Responder
joint,P1000_Player2_1225_joint_TrialID2611_Date_29_10_2020_133759.csv,2611,,2,Initiator,Responder
joint,P1000_Player2_1349_joint_TrialID2612_Date_29_10_2020_140119.csv,2612,,2,Initiator,Responder
joint,P1000_Player2_1430_joint_TrialID2613_Date_29_10_2020_141143.csv,2613,,2,Initiator,Responder
joint,P1000_Player2_1108_joint_TrialID2614_Date_29_10_2020_132026.csv,2614,,2,Initiator,Responder
joint,P1000_Player2_1034_joint_TrialID2615_Date_29_10_2020_130831.csv,2615,,2,Initiator,Responder
joint,P1000_Player2_1390_joint_TrialID2616_Date_29_10_2020_140627.csv,2616,,2,Initiator,Responder
joint,P1000_Player2_1313_joint_TrialID2617_Date_29_10_2020_135633.csv,2617,,2,Initiator,Responder
joint,P1000_Player2_1347_joint_TrialID2618_Date_29_10_2020_140104.csv,2618,,2,Initiator,Responder
joint,P1000_Player2_1379_joint_TrialID2619_Date_29_10_2020_140503.csv,2619,,2,Initiator,Responder
joint,P1000_Player2_1145_joint_TrialID2620_Date_29_10_2020_132625.csv,2620,,2,Initiator,Responder
joint,P1000_Player2_1388_joint_TrialID2621_Date_29_10_2020_140613.csv,2621,,3,Initiator,Responder
joint,P1000_Player2_1378_joint_TrialID2622_Date_29_10_2020_140456.csv,2622,,3,Initiator,Responder
joint,P1000_Player2_1181_joint_TrialID2623_Date_29_10_2020_133141.csv,2623,,3,Initiator,Responder
joint,P1000_Player2_1102_joint_TrialID2624_Date_29_10_2020_131925.csv,2624,,3,Initiator,Responder
joint,P1000_Player2_1008_joint_TrialID2625_Date_29_10_2020_130439.csv,2625,,3,Initiator,Responder
joint,P1000_Player2_1316_joint_TrialID2626_Date_29_10_2020_135656.csv,2626,,3,Initiator,Responder
joint,P1000_Player2_1041_joint_TrialID2627_Date_29_10_2020_130936.csv,2627,,3,Initiator,Responder
joint,P1000_Player2_1420_joint_TrialID2628_Date_29_10_2020_141029.csv,2628,,3,Initiator,Responder
joint,P1000_Player2_1219_joint_TrialID2629_Date_29_10_2020_133707.csv,2629,,3,Initiator,Responder
joint,P1000_Player2_1239_joint_TrialID2630_Date_29_10_2020_133958.csv,2630,,3,Initiator,Responder
joint,P1000_Player2_1375_joint_TrialID2631_Date_29_10_2020_140434.csv,2631,,3,Initiator,Responder
joint,P1000_Player2_1307_joint_TrialID2632_Date_29_10_2020_135543.csv,2632,,3,Initiator,Responder
joint,P1000_Player2_1250_joint_TrialID2633_Date_29_10_2020_134130.csv,2633,,3,Initiator,Responder
joint,P1000_Player2_1210_joint_TrialID2634_Date_29_10_2020_133549.csv,2634,,3,Initiator,Responder
joint,P1000_Player2_1033_joint_TrialID2635_Date_29_10_2020_130824.csv,2635,,3,Initiator,Responder
joint,P1000_Player2_1408_joint_TrialID2636_Date_29_10_2020_140853.csv,2636,,3,Initiator,Responder
joint,P1000_Player2_1140_joint_TrialID2637_Date_29_10_2020_132544.csv,2637,,3,Initiator,Responder
joint,P1000_Player2_1351_joint_TrialID2638_Date_29_10_2020_140133.csv,2638,,3,Initiator,Responder
joint,P1000_Player2_1168_joint_TrialID2639_Date_29_10_2020_132952.csv,2639,,3,Initiator,Responder
joint,P1000_Player2_1221_joint_TrialID2640_Date_29_10_2020_133725.csv,2640,,3,Initiator,Responder
joint,P1000_Player2_1381_joint_TrialID2641_Date_29_10_2020_140518.csv,2641,,3,Initiator,Responder
joint,P1000_Player2_1327_joint_TrialID2642_Date_29_10_2020_135823.csv,2642,,3,Initiator,Responder
joint,P1000_Player2_1083_joint_TrialID2643_Date_29_10_2020_131620.csv,2643,,3,Initiator,Responder
joint,P1000_Player2_1056_joint_TrialID2644_Date_29_10_2020_131150.csv,2644,,3,Initiator,Responder
